#   prop      acc      cov     rmsd
   0.501   33.584   21.963   11.371
   1.050   26.692   34.018    5.910
   1.554   22.913   40.636    3.790
   2.025   20.136   44.833    2.617
   2.490   17.780   46.954    1.957
   2.800   16.680   48.104    1.667
   3.098   15.666   48.799    1.424
   3.338   15.064   49.454    1.275
   3.530   14.597   49.842    1.180
   3.718   14.221   50.596    1.122
   3.841   13.978   50.756    1.095
   3.959   13.759   50.867    1.069
   4.049   13.617   50.931    1.054
   4.124   13.537   51.037    1.041
   4.193   13.459   51.142    1.030
   4.238   13.417   51.251    1.022
   4.283   13.376   51.343    1.018
   4.319   13.337   51.357    1.013
   4.347   13.305   51.357    1.010
   4.375   13.276   51.357    1.009
   4.391   13.268   51.392    1.006
   4.406   13.265   51.458    1.001
   4.420   13.253   51.458    1.000
   4.430   13.244   51.458    1.000
   4.442   13.239   51.470    0.995
   4.449   13.234   51.470    0.994
   4.456   13.233   51.560    0.990
   4.464   13.229   51.560    0.990
   4.469   13.226   51.560    0.989
   4.475   13.224   51.560    0.989
   4.478   13.223   51.560    0.989
   4.481   13.223   51.560    0.989
   4.486   13.222   51.560    0.989
   4.489   13.221   51.560    0.989
   4.493   13.220   51.560    0.989
   4.497   13.219   51.560    0.989
   4.500   13.219   51.560    0.989
   4.505   13.218   51.560    0.989
   4.508   13.218   51.560    0.989
   4.512   13.217   51.560    0.988
   4.516   13.217   51.560    0.988
   4.519   13.218   51.576    0.988
   4.523   13.217   51.576    0.988
   4.527   13.217   51.576    0.988
   4.531   13.216   51.576    0.988
   4.534   13.216   51.576    0.988
   4.537   13.216   51.576    0.988
   4.540   13.215   51.576    0.988
   4.542   13.215   51.576    0.988
   4.545   13.215   51.576    0.988
