#   prop      acc      cov     rmsd
   0.406   45.673   20.494   11.910
   1.000   37.238   37.238    6.902
   1.406   30.770   42.823    3.351
   2.000   24.141   48.282    1.669
   2.406   20.709   49.550    1.289
   3.000   17.114   51.341    0.862
   3.406   15.235   51.598    0.694
   4.000   13.061   52.241    0.509
   4.404   11.964   52.464    0.464
   4.995   10.558   52.731    0.417
   5.392    9.856   52.932    0.387
   5.965    8.880   52.932    0.358
   6.336    8.405   53.066    0.341
   6.883    7.724   53.066    0.316
   7.239    7.368   53.066    0.303
   7.771    6.868   53.066    0.290
   8.108    6.609   53.066    0.283
   8.611    6.245   53.155    0.266
   8.924    6.052   53.155    0.260
   9.399    5.765   53.155    0.253
   9.689    5.617   53.155    0.249
  10.145    5.389   53.155    0.242
  10.419    5.273   53.155    0.239
  10.855    5.092   53.190    0.235
  11.114    4.999   53.190    0.231
  11.527    4.851   53.190    0.228
  11.762    4.779   53.190    0.226
  12.153    4.658   53.190    0.223
  12.373    4.599   53.190    0.222
  12.743    4.499   53.190    0.218
  12.949    4.451   53.190    0.217
  13.299    4.367   53.190    0.215
  13.485    4.328   53.190    0.214
  13.818    4.258   53.190    0.212
  13.991    4.226   53.190    0.211
  14.309    4.166   53.190    0.209
  14.468    4.139   53.190    0.208
  14.766    4.088   53.190    0.207
  14.907    4.066   53.190    0.207
  15.186    4.022   53.190    0.206
  15.313    4.004   53.190    0.205
  15.581    3.966   53.190    0.204
  15.700    3.951   53.190    0.203
  15.955    3.919   53.190    0.202
  16.063    3.910   53.280    0.201
  16.303    3.882   53.280    0.201
  16.404    3.871   53.280    0.200
  16.637    3.845   53.280    0.200
  16.735    3.836   53.280    0.199
  16.961    3.813   53.280    0.199
