#   prop      acc      cov     rmsd
   0.501   43.971   28.831   11.371
   1.050   37.488   48.703    5.910
   1.554   33.565   61.139    3.790
   2.025   30.500   69.493    2.617
   2.490   27.497   74.045    1.957
   2.800   25.958   76.317    1.667
   3.098   24.758   78.485    1.424
   3.338   23.838   79.552    1.275
   3.530   23.196   80.462    1.180
   3.718   22.651   81.606    1.122
   3.841   22.277   81.954    1.095
   3.959   21.951   82.187    1.069
   4.049   21.764   82.437    1.054
   4.124   21.625   82.629    1.041
   4.193   21.479   82.760    1.030
   4.238   21.421   82.963    1.022
   4.283   21.346   83.033    1.018
   4.319   21.285   83.149    1.013
   4.347   21.246   83.204    1.010
   4.375   21.201   83.218    1.009
   4.391   21.188   83.276    1.006
   4.406   21.172   83.317    1.001
   4.420   21.156   83.333    1.000
   4.430   21.143   83.333    1.000
   4.442   21.129   83.333    0.995
   4.449   21.121   83.333    0.994
   4.456   21.117   83.423    0.990
   4.464   21.109   83.423    0.990
   4.469   21.108   83.445    0.989
   4.475   21.104   83.445    0.989
   4.478   21.102   83.445    0.989
   4.481   21.103   83.462    0.989
   4.486   21.101   83.462    0.989
   4.489   21.100   83.462    0.989
   4.493   21.098   83.462    0.989
   4.497   21.097   83.462    0.989
   4.500   21.096   83.462    0.989
   4.505   21.095   83.462    0.989
   4.508   21.094   83.462    0.989
   4.512   21.092   83.462    0.988
   4.516   21.093   83.478    0.988
   4.519   21.092   83.478    0.988
   4.523   21.091   83.478    0.988
   4.527   21.090   83.478    0.988
   4.531   21.089   83.478    0.988
   4.534   21.089   83.478    0.988
   4.537   21.088   83.478    0.988
   4.540   21.087   83.478    0.988
   4.542   21.087   83.478    0.988
   4.545   21.086   83.478    0.988
