# result_score/3drism
# Averaged data
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med  pre0.5 pre1.0 pre1.5 rec0.5 rec1.0 rec1.5 f1_0.5 f1_1.0 f1_1.5
 6.058  9.327 16.000 |  9.700  8.774  8.827  0.1609 0.2306 0.2586 0.0681 0.1245 0.1626 0.0784 0.1243 0.1467
 6.058  9.889 15.000 |  9.608  8.547  8.528  0.1568 0.2346 0.2661 0.0752 0.1397 0.1847 0.0833 0.1358 0.1626
 6.058 10.567 14.000 |  9.036  7.896  7.916  0.1625 0.2541 0.2934 0.0898 0.1681 0.2193 0.0950 0.1588 0.1901
 6.058 11.187 13.000 |  8.389  7.208  7.270  0.1645 0.2802 0.3165 0.1037 0.2017 0.2570 0.1055 0.1910 0.2243
 6.058 11.883 12.000 |  7.765  6.567  6.643  0.1622 0.2753 0.3157 0.1195 0.2307 0.2909 0.1151 0.2075 0.2450
 6.058 13.000 11.000 |  6.755  5.605  5.512  0.1405 0.2531 0.3140 0.1281 0.2617 0.3412 0.1144 0.2186 0.2737
 6.058 14.561 10.000 |  6.005  4.769  4.351  0.1178 0.2332 0.2995 0.1416 0.3095 0.4085 0.1148 0.2348 0.3010
 6.058 15.784  9.000 |  4.750  3.746  3.191  0.1120 0.2350 0.3027 0.1592 0.3637 0.4806 0.1184 0.2552 0.3294
 6.058 17.228  8.000 |  3.717  2.841  2.217  0.1047 0.2306 0.3008 0.1754 0.4049 0.5446 0.1193 0.2652 0.3489
 6.058 19.193  7.000 |  2.792  2.120  1.529  0.0925 0.2041 0.2742 0.1873 0.4449 0.6156 0.1142 0.2558 0.3461
 6.058 21.251  6.000 |  2.099  1.635  1.239  0.0808 0.1872 0.2585 0.1913 0.4843 0.6759 0.1058 0.2509 0.3467
 6.058 23.550  5.000 |  1.862  1.486  1.171  0.0727 0.1688 0.2353 0.1930 0.4941 0.7005 0.0983 0.2342 0.3271
 6.058 26.146  4.000 |  1.719  1.389  1.119  0.0669 0.1538 0.2164 0.1985 0.5051 0.7212 0.0929 0.2194 0.3090
 6.058 28.813  3.000 |  1.627  1.327  1.080  0.0614 0.1439 0.2031 0.1985 0.5178 0.7418 0.0866 0.2090 0.2956
 6.058 31.515  2.000 |  1.599  1.309  1.077  0.0580 0.1355 0.1912 0.1985 0.5211 0.7476 0.0823 0.1984 0.2807
 6.058 32.216  1.000 |  1.595  1.307  1.077  0.0573 0.1338 0.1886 0.1985 0.5226 0.7490 0.0814 0.1963 0.2773
 6.058 32.216  0.000 |  1.595  1.307  1.077  0.0573 0.1338 0.1886 0.1985 0.5226 0.7490 0.0814 0.1963 0.2773
 6.058 32.216 -1.000 |  1.595  1.307  1.077  0.0573 0.1338 0.1886 0.1985 0.5226 0.7490 0.0814 0.1963 0.2773
 6.058 32.216 -2.000 |  1.595  1.307  1.077  0.0573 0.1338 0.1886 0.1985 0.5226 0.7490 0.0814 0.1963 0.2773
#
#
