# 3drism/1vyr_A.pdb
# Protein CA rmsd=  0.000
#  N |   RMSD    Ave    Med   f<0.5  f<1.0  f<1.5
 155 |  9.437  5.263  1.402  0.2000 0.4000 0.5161   0.767
 310 |  2.411  1.570  0.806  0.2710 0.5677 0.7419   0.753
 465 |  1.742  1.170  0.756  0.2839 0.6065 0.8194   0.774
 620 |  1.588  1.092  0.756  0.2839 0.6065 0.8387   0.788
 775 |  1.463  1.025  0.756  0.2839 0.6065 0.8452   0.807
 930 |  1.457  1.019  0.756  0.2839 0.6194 0.8516   0.800
1085 |  1.455  1.016  0.756  0.2839 0.6194 0.8581   0.797
1240 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
1395 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
1550 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
1705 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
1860 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
2015 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
2170 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
2325 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
2480 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
2635 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
2790 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
2945 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
3100 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
3255 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
3410 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
3565 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
3720 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
3875 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
4030 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
4185 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
4340 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
4495 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
4650 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
4805 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
4960 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
5115 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
5270 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
5425 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
5580 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
5735 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
5890 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
6045 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
6200 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
6355 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
6510 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
6665 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
6820 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
6975 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
7130 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
7285 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
7440 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
7595 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
1607 |  1.450  1.013  0.756  0.2839 0.6194 0.8581   0.796
#
