# FoldX/2pnd_A.pdb
# Protein CA rmsd=  0.000
#  N |   RMSD    Ave    Med   f<0.5  f<1.0  f<1.5
  59 |  9.632  6.014  2.015  0.1186 0.1695 0.3559   1.095
 118 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
 177 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
 236 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
 295 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
 354 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
 413 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
 472 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
 531 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
 590 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
 649 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
 708 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
 767 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
 826 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
 885 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
 944 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
1003 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
1062 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
1121 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
1180 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
1239 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
1298 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
1357 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
1416 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
1475 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
1534 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
1593 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
1652 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
1711 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
1770 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
1829 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
1888 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
1947 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
2006 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
2065 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
2124 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
2183 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
2242 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
2301 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
2360 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
2419 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
2478 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
2537 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
2596 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
2655 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
2714 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
2773 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
2832 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
2891 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
  83 |  3.853  2.617  1.364  0.1356 0.2881 0.5254   1.014
#
