# GalaxyWater-CNN/1eb6_A.pdb
# Protein CA rmsd=  0.000
#  N |   RMSD    Ave    Med   f<0.5  f<1.0  f<1.5
  67 |  9.718  6.231  3.952  0.3433 0.4328 0.4478   0.417
 134 |  4.131  2.105  0.431  0.5821 0.7164 0.7313   0.419
 201 |  2.040  1.067  0.415  0.6119 0.8209 0.8657   0.451
 268 |  1.501  0.858  0.415  0.6119 0.8358 0.8806   0.456
 335 |  1.097  0.689  0.412  0.6418 0.8657 0.9254   0.464
 402 |  1.015  0.651  0.412  0.6418 0.8657 0.9403   0.474
 469 |  0.909  0.622  0.412  0.6418 0.8657 0.9403   0.474
 536 |  0.878  0.610  0.412  0.6418 0.8657 0.9403   0.496
 603 |  0.816  0.577  0.412  0.6418 0.8806 0.9552   0.496
 670 |  0.690  0.544  0.412  0.6418 0.8806 0.9552   0.514
 737 |  0.661  0.530  0.412  0.6418 0.8955 0.9701   0.500
 804 |  0.661  0.530  0.412  0.6418 0.8955 0.9701   0.500
 871 |  0.589  0.498  0.407  0.6567 0.9104 0.9851   0.498
 938 |  0.589  0.498  0.407  0.6567 0.9104 0.9851   0.498
1005 |  0.589  0.498  0.407  0.6567 0.9104 0.9851   0.498
1072 |  0.589  0.498  0.407  0.6567 0.9104 0.9851   0.498
1139 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
1206 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
1273 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
1340 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
1407 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
1474 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
1541 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
1608 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
1675 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
1742 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
1809 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
1876 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
1943 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
2010 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
2077 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
2144 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
2211 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
2278 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
2345 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
2412 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
2479 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
2546 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
2613 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
2680 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
2747 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
2814 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
2881 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
2948 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
3015 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
3082 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
3149 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
3216 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
3283 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
3805 |  0.562  0.487  0.407  0.6567 0.9254 1.0000   0.487
#
