# GalaxyWater-CNN/1vyr_A.pdb
# Protein CA rmsd=  0.000
#  N |   RMSD    Ave    Med   f<0.5  f<1.0  f<1.5
 155 |  8.777  4.815  0.990  0.3290 0.5032 0.5161   0.457
 310 |  2.522  1.421  0.521  0.4839 0.7613 0.8000   0.501
 465 |  1.807  1.056  0.492  0.5097 0.8065 0.8516   0.498
 620 |  1.149  0.727  0.487  0.5226 0.8774 0.9290   0.526
 775 |  0.923  0.647  0.487  0.5226 0.8903 0.9484   0.545
 930 |  0.729  0.591  0.487  0.5226 0.8968 0.9613   0.552
1085 |  0.705  0.578  0.487  0.5290 0.9097 0.9742   0.548
1240 |  0.683  0.570  0.487  0.5290 0.9097 0.9806   0.554
1395 |  0.677  0.568  0.487  0.5290 0.9097 0.9871   0.552
1550 |  0.675  0.567  0.487  0.5290 0.9097 0.9871   0.551
1705 |  0.675  0.567  0.487  0.5290 0.9097 0.9871   0.551
1860 |  0.675  0.567  0.487  0.5290 0.9097 0.9871   0.551
2015 |  0.675  0.567  0.487  0.5290 0.9097 0.9871   0.551
2170 |  0.675  0.567  0.487  0.5290 0.9097 0.9871   0.551
2325 |  0.675  0.567  0.487  0.5290 0.9097 0.9871   0.551
2480 |  0.675  0.567  0.487  0.5290 0.9097 0.9871   0.551
2635 |  0.675  0.567  0.487  0.5290 0.9097 0.9871   0.551
2790 |  0.649  0.560  0.487  0.5290 0.9097 0.9871   0.560
2945 |  0.649  0.560  0.487  0.5290 0.9097 0.9871   0.560
3100 |  0.649  0.560  0.487  0.5290 0.9097 0.9871   0.560
3255 |  0.649  0.560  0.487  0.5290 0.9097 0.9871   0.560
3410 |  0.649  0.560  0.487  0.5290 0.9097 0.9871   0.560
3565 |  0.649  0.560  0.487  0.5290 0.9097 0.9871   0.560
3720 |  0.649  0.560  0.487  0.5290 0.9097 0.9871   0.560
3875 |  0.649  0.560  0.487  0.5290 0.9097 0.9871   0.560
4030 |  0.649  0.560  0.487  0.5290 0.9097 0.9871   0.560
4185 |  0.649  0.560  0.487  0.5290 0.9097 0.9871   0.560
4340 |  0.649  0.560  0.487  0.5290 0.9097 0.9871   0.560
4495 |  0.649  0.560  0.487  0.5290 0.9097 0.9871   0.560
4650 |  0.631  0.551  0.487  0.5290 0.9161 0.9935   0.551
4805 |  0.631  0.551  0.487  0.5290 0.9161 0.9935   0.551
4960 |  0.631  0.551  0.487  0.5290 0.9161 0.9935   0.551
5115 |  0.631  0.551  0.487  0.5290 0.9161 0.9935   0.551
5270 |  0.631  0.551  0.487  0.5290 0.9161 0.9935   0.551
5425 |  0.631  0.551  0.487  0.5290 0.9161 0.9935   0.551
5580 |  0.631  0.551  0.487  0.5290 0.9161 0.9935   0.551
5735 |  0.631  0.551  0.487  0.5290 0.9161 0.9935   0.551
5890 |  0.631  0.551  0.487  0.5290 0.9161 0.9935   0.551
6045 |  0.631  0.551  0.487  0.5290 0.9161 0.9935   0.551
6200 |  0.631  0.551  0.487  0.5290 0.9161 0.9935   0.551
6355 |  0.631  0.551  0.487  0.5290 0.9161 0.9935   0.551
6510 |  0.631  0.551  0.487  0.5290 0.9161 0.9935   0.551
6665 |  0.631  0.551  0.487  0.5290 0.9161 0.9935   0.551
6820 |  0.631  0.551  0.487  0.5290 0.9161 0.9935   0.551
6975 |  0.631  0.551  0.487  0.5290 0.9161 0.9935   0.551
7130 |  0.631  0.551  0.487  0.5290 0.9161 0.9935   0.551
7285 |  0.631  0.551  0.487  0.5290 0.9161 0.9935   0.551
7440 |  0.631  0.551  0.487  0.5290 0.9161 0.9935   0.551
7595 |  0.631  0.551  0.487  0.5290 0.9161 0.9935   0.551
6759 |  0.631  0.551  0.487  0.5290 0.9161 0.9935   0.551
#
