# GalaxyWater-CNN/3rwn_A.pdb
# Protein CA rmsd=  0.000
#  N |   RMSD    Ave    Med   f<0.5  f<1.0  f<1.5
  58 |  9.627  5.348  2.781  0.2414 0.4310 0.4483   0.582
 116 |  3.624  2.172  0.629  0.3103 0.6379 0.6724   0.577
 174 |  2.101  1.332  0.600  0.3276 0.6897 0.7414   0.632
 232 |  1.693  1.071  0.583  0.3793 0.7414 0.7931   0.616
 290 |  1.388  0.858  0.545  0.4138 0.7931 0.8793   0.613
 348 |  1.275  0.794  0.545  0.4138 0.8103 0.9138   0.583
 406 |  1.191  0.774  0.545  0.4138 0.8276 0.9138   0.577
 464 |  1.014  0.681  0.545  0.4138 0.8793 0.9655   0.564
 522 |  0.807  0.640  0.545  0.4138 0.8793 0.9655   0.564
 580 |  0.680  0.595  0.545  0.4138 0.8966 0.9828   0.568
 638 |  0.680  0.595  0.545  0.4138 0.8966 0.9828   0.568
 696 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
 754 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
 812 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
 870 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
 928 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
 986 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
1044 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
1102 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
1160 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
1218 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
1276 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
1334 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
1392 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
1450 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
1508 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
1566 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
1624 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
1682 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
1740 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
1798 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
1856 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
1914 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
1972 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
2030 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
2088 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
2146 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
2204 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
2262 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
2320 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
2378 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
2436 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
2494 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
2552 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
2610 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
2668 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
2726 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
2784 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
2842 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
3809 |  0.625  0.570  0.545  0.4138 0.9138 1.0000   0.570
#
