# 3drism/1c7k_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    34      1 16.000 |  9.853  9.727 10.000       0      1      1   0.701
    34      2 15.000 |  9.753  9.603 10.000       0      1      1   0.701
    34      5 14.000 |  9.409  9.101 10.000       0      2      2   0.689
    34      6 13.000 |  9.484  9.165 10.000       0      2      2   0.689
    34     12 12.000 |  8.794  8.074 10.000       2      5      5   0.531
    34     18 11.000 |  8.138  7.273 10.000       2      5      6   0.667
    34     30 10.000 |  8.581  6.269  5.855       3     10     11   0.698
    34     37  9.000 |  8.432  5.377  3.422       6     13     15   0.665
    34     60  8.000 |  2.929  1.998  0.912      10     19     23   0.668
    34     98  7.000 |  1.990  1.367  0.782      10     21     26   0.685
    34    158  6.000 |  1.119  0.882  0.705      12     24     30   0.741
    34    246  5.000 |  0.837  0.738  0.689      12     26     32   0.738
    34    338  4.000 |  0.837  0.738  0.689      12     26     32   0.738
    34    476  3.000 |  0.837  0.738  0.689      12     26     32   0.738
    34    650  2.000 |  0.837  0.738  0.689      12     26     32   0.738
    34    761  1.000 |  0.837  0.738  0.689      12     26     32   0.738
    34    761  0.000 |  0.837  0.738  0.689      12     26     32   0.738
    34    761 -1.000 |  0.837  0.738  0.689      12     26     32   0.738
    34    761 -2.000 |  0.837  0.738  0.689      12     26     32   0.738
#
