# 3drism/1i1w_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   127     13 16.000 |  9.526  9.171 10.000       8      9      9   0.286
   127     15 15.000 |  9.444  9.027 10.000       9     10     11   0.393
   127     20 14.000 |  9.253  8.715 10.000      10     13     14   0.416
   127     32 13.000 |  8.742  7.893 10.000      14     20     21   0.490
   127     42 12.000 |  8.374  7.388 10.000      15     22     23   0.538
   127     56 11.000 |  7.807  6.564 10.000      17     31     33   0.612
   127     73 10.000 |  7.345  5.922  7.774      21     37     40   0.608
   127     96  9.000 |  6.827  5.153  4.622      24     41     46   0.637
   127    136  8.000 |  7.128  4.201  1.518      30     53     63   0.682
   127    204  7.000 |  2.956  1.986  0.852      37     70     80   0.681
   127    283  6.000 |  2.085  1.390  0.758      38     82     96   0.684
   127    432  5.000 |  1.602  1.116  0.729      38     87    104   0.715
   127    599  4.000 |  1.533  1.055  0.707      38     89    109   0.715
   127    850  3.000 |  1.492  1.030  0.707      38     89    110   0.720
   127   1111  2.000 |  1.492  1.030  0.707      38     89    110   0.720
   127   1292  1.000 |  1.492  1.030  0.707      38     89    110   0.720
   127   1292  0.000 |  1.492  1.030  0.707      38     89    110   0.720
   127   1292 -1.000 |  1.492  1.030  0.707      38     89    110   0.720
   127   1292 -2.000 |  1.492  1.030  0.707      38     89    110   0.720
#
