# 3drism/1ix9_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   100      6 16.000 |  9.722  9.485 10.000       5      5      5   0.271
   100      6 15.000 |  9.722  9.485 10.000       5      5      5   0.271
   100      6 14.000 |  9.722  9.485 10.000       5      5      5   0.271
   100     14 13.000 |  9.352  8.860 10.000       7      9     11   0.521
   100     21 12.000 |  8.986  8.257 10.000       8     13     16   0.661
   100     30 11.000 |  8.578  7.700 10.000      10     16     19   0.638
   100     48 10.000 |  7.686  6.455 10.000      15     24     29   0.644
   100     67  9.000 |  6.752  5.321  5.333      19     31     37   0.644
   100    101  8.000 |  6.574  4.037  1.449      26     46     53   0.655
   100    161  7.000 |  3.036  1.955  0.841      26     55     68   0.729
   100    242  6.000 |  1.920  1.302  0.777      29     63     77   0.735
   100    371  5.000 |  1.251  0.961  0.722      31     68     86   0.736
   100    511  4.000 |  1.176  0.918  0.722      31     69     88   0.755
   100    717  3.000 |  1.134  0.885  0.698      32     70     91   0.748
   100    954  2.000 |  1.072  0.860  0.698      32     70     91   0.759
   100   1099  1.000 |  1.072  0.860  0.698      32     70     91   0.759
   100   1099  0.000 |  1.072  0.860  0.698      32     70     91   0.759
   100   1099 -1.000 |  1.072  0.860  0.698      32     70     91   0.759
   100   1099 -2.000 |  1.072  0.860  0.698      32     70     91   0.759
#
