# 3drism/1jfb_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   184     10 16.000 |  9.768  9.607 10.000       3      5      5   0.658
   184     14 15.000 |  9.672  9.459 10.000       3      6      6   0.769
   184     19 14.000 |  9.545  9.257 10.000       4      8      8   0.738
   184     33 13.000 |  9.196  8.703 10.000       8     15     15   0.598
   184     52 12.000 |  8.674  7.865 10.000      17     29     29   0.537
   184     70 11.000 |  8.151  7.105 10.000      21     38     40   0.587
   184    104 10.000 |  7.205  5.861  7.194      30     54     56   0.623
   184    150  9.000 |  6.262  4.532  3.319      38     73     80   0.642
   184    221  8.000 |  4.878  3.124  1.041      45     91    103   0.669
   184    329  7.000 |  2.735  1.762  0.872      50    106    125   0.746
   184    486  6.000 |  1.682  1.187  0.789      53    118    143   0.761
   184    700  5.000 |  1.171  0.921  0.732      56    127    157   0.765
   184    985  4.000 |  1.027  0.846  0.714      57    130    166   0.761
   184   1393  3.000 |  1.018  0.841  0.714      57    130    166   0.765
   184   1759  2.000 |  1.014  0.840  0.714      57    130    166   0.765
   184   2001  1.000 |  1.014  0.840  0.714      57    130    166   0.765
   184   2001  0.000 |  1.014  0.840  0.714      57    130    166   0.765
   184   2001 -1.000 |  1.014  0.840  0.714      57    130    166   0.765
   184   2001 -2.000 |  1.014  0.840  0.714      57    130    166   0.765
#
