# 3drism/1m40_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   116      6 16.000 |  9.766  9.594 10.000       3      4      4   0.429
   116      8 15.000 |  9.687  9.479 10.000       3      4      4   0.429
   116     15 14.000 |  9.447  9.098 10.000       5      7      7   0.406
   116     23 13.000 |  9.130  8.599 10.000       5     10     11   0.659
   116     32 12.000 |  8.829  8.165 10.000       5     13     14   0.742
   116     42 11.000 |  8.350  7.454 10.000       8     16     18   0.806
   116     57 10.000 |  7.823  6.663 10.000      12     22     26   0.798
   116     78  9.000 |  6.958  5.531  5.506      16     30     36   0.758
   116    127  8.000 |  7.570  4.623  2.206      18     37     47   0.837
   116    197  7.000 |  3.257  2.220  1.212      23     52     65   0.833
   116    284  6.000 |  2.196  1.509  0.869      29     64     81   0.803
   116    434  5.000 |  1.448  1.065  0.782      33     74     95   0.803
   116    605  4.000 |  1.326  0.991  0.750      33     77     98   0.790
   116    842  3.000 |  1.303  0.981  0.750      33     77     98   0.790
   116   1113  2.000 |  1.298  0.978  0.750      33     77     98   0.789
   116   1294  1.000 |  1.298  0.978  0.750      33     77     98   0.789
   116   1294  0.000 |  1.298  0.978  0.750      33     77     98   0.789
   116   1294 -1.000 |  1.298  0.978  0.750      33     77     98   0.789
   116   1294 -2.000 |  1.298  0.978  0.750      33     77     98   0.789
#
