# 3drism/1mc2_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    54      3 16.000 |  9.719  9.474 10.000       2      3      3   0.529
    54      6 15.000 |  9.430  8.949 10.000       3      6      6   0.539
    54      7 14.000 |  9.405  8.924 10.000       3      6      6   0.539
    54     10 13.000 |  9.137  8.509 10.000       4      7      7   0.511
    54     15 12.000 |  8.703  7.853 10.000       5     10     10   0.544
    54     22 11.000 |  8.179  7.148 10.000       6     12     12   0.519
    54     38 10.000 |  6.601  5.201  5.057       7     16     19   0.626
    54     52  9.000 |  6.472  4.430  2.589       9     21     24   0.610
    54     76  8.000 |  4.577  2.946  0.980      11     28     31   0.657
    54    107  7.000 |  3.209  2.222  0.965      11     29     33   0.691
    54    171  6.000 |  1.742  1.256  0.753      12     36     41   0.773
    54    258  5.000 |  0.948  0.827  0.727      13     40     48   0.799
    54    371  4.000 |  0.948  0.827  0.727      13     40     48   0.799
    54    544  3.000 |  0.894  0.786  0.717      14     41     49   0.786
    54    718  2.000 |  0.871  0.769  0.697      14     42     50   0.769
    54    820  1.000 |  0.871  0.769  0.697      14     42     50   0.769
    54    820  0.000 |  0.871  0.769  0.697      14     42     50   0.769
    54    820 -1.000 |  0.871  0.769  0.697      14     42     50   0.769
    54    820 -2.000 |  0.871  0.769  0.697      14     42     50   0.769
#
