# 3drism/1muw_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   118      6 16.000 |  9.754  9.573 10.000       2      3      3   0.851
   118     13 15.000 |  9.509  9.157 10.000       5      7      7   0.648
   118     18 14.000 |  9.360  8.936 10.000       6      8      9   0.668
   118     25 13.000 |  9.109  8.508 10.000       9     13     14   0.588
   118     33 12.000 |  8.845  8.149 10.000      10     15     16   0.576
   118     52 11.000 |  8.123  7.060 10.000      16     24     26   0.580
   118     82 10.000 |  7.351  5.872  6.179      19     31     37   0.651
   118    129  9.000 | 10.045  5.568  2.499      23     42     51   0.676
   118    208  8.000 |  4.032  2.648  1.116      29     53     65   0.731
   118    304  7.000 |  2.230  1.607  0.924      30     65     78   0.719
   118    474  6.000 |  1.434  1.054  0.745      32     80     96   0.740
   118    698  5.000 |  1.278  0.949  0.728      33     83    101   0.736
   118   1000  4.000 |  1.194  0.900  0.728      33     84    105   0.744
   118   1412  3.000 |  1.194  0.899  0.728      33     84    105   0.743
   118   1872  2.000 |  1.194  0.899  0.728      33     84    105   0.743
   118   2158  1.000 |  1.194  0.899  0.728      33     84    105   0.743
   118   2158  0.000 |  1.194  0.899  0.728      33     84    105   0.743
   118   2158 -1.000 |  1.194  0.899  0.728      33     84    105   0.743
   118   2158 -2.000 |  1.194  0.899  0.728      33     84    105   0.743
#
