# 3drism/1nwz_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    40      2 16.000 |  9.747  9.521 10.000       1      2      2   0.416
    40      2 15.000 |  9.747  9.521 10.000       1      2      2   0.416
    40      7 14.000 |  9.136  8.522 10.000       3      5      5   0.454
    40      9 13.000 |  9.031  8.309 10.000       4      6      6   0.404
    40     14 12.000 |  8.671  7.821 10.000       4      7      7   0.436
    40     19 11.000 |  8.240  7.158 10.000       4      9     10   0.598
    40     26 10.000 |  7.568  6.194  8.212       5     11     13   0.644
    40     40  9.000 |  8.477  5.495  3.008       5     14     17   0.679
    40     63  8.000 |  4.629  3.145  1.275       7     19     22   0.668
    40    104  7.000 |  3.171  2.113  0.918       7     21     26   0.715
    40    158  6.000 |  1.496  1.141  0.769       9     26     32   0.710
    40    238  5.000 |  1.323  1.040  0.769       9     26     33   0.752
    40    339  4.000 |  1.171  0.932  0.753       9     28     35   0.780
    40    489  3.000 |  1.115  0.889  0.723      10     29     36   0.741
    40    656  2.000 |  1.115  0.889  0.723      10     29     36   0.741
    40    762  1.000 |  1.115  0.889  0.723      10     29     36   0.741
    40    762  0.000 |  1.115  0.889  0.723      10     29     36   0.741
    40    762 -1.000 |  1.115  0.889  0.723      10     29     36   0.741
    40    762 -2.000 |  1.115  0.889  0.723      10     29     36   0.741
#
