# 3drism/1p1x_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    53      6 16.000 |  9.584  9.339 10.000       2      2      2   0.143
    53     10 15.000 |  9.358  8.932 10.000       4      4      4   0.281
    53     14 14.000 |  8.967  8.282 10.000       6      7      7   0.318
    53     21 13.000 |  8.450  7.557 10.000       6      9     10   0.437
    53     25 12.000 |  8.185  7.204 10.000       6      9     11   0.491
    53     31 11.000 |  8.002  6.869  7.913       7     10     12   0.474
    53     45 10.000 |  8.584  6.255  6.433       9     16     18   0.545
    53     70  9.000 |  6.592  3.965  1.036      15     23     28   0.559
    53    104  8.000 |  3.582  2.281  0.697      19     29     34   0.541
    53    174  7.000 |  2.014  1.281  0.570      23     34     41   0.587
    53    265  6.000 |  1.665  1.068  0.545      24     36     43   0.585
    53    403  5.000 |  1.447  0.951  0.524      25     37     44   0.580
    53    557  4.000 |  1.150  0.764  0.508      26     40     48   0.598
    53    807  3.000 |  1.150  0.764  0.508      26     40     48   0.598
    53   1057  2.000 |  1.150  0.764  0.508      26     40     48   0.598
    53   1226  1.000 |  1.150  0.764  0.508      26     40     48   0.598
    53   1226  0.000 |  1.150  0.764  0.508      26     40     48   0.598
    53   1226 -1.000 |  1.150  0.764  0.508      26     40     48   0.598
    53   1226 -2.000 |  1.150  0.764  0.508      26     40     48   0.598
#
