# 3drism/1rtq_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   108      6 16.000 |  9.727  9.514 10.000       4      4      4   0.404
   108      8 15.000 |  9.631  9.330 10.000       6      6      6   0.303
   108     13 14.000 |  9.389  8.901 10.000       8     10     11   0.497
   108     19 13.000 |  9.109  8.448 10.000       9     12     14   0.677
   108     32 12.000 |  8.577  7.618 10.000      11     20     22   0.633
   108     45 11.000 |  8.159  6.966 10.000      13     25     27   0.706
   108     61 10.000 |  7.739  6.297 10.000      14     29     32   0.771
   108     85  9.000 |  7.597  5.518  4.477      16     34     39   0.798
   108    130  8.000 |  5.450  3.655  1.712      17     42     50   0.812
   108    196  7.000 |  2.830  1.961  1.017      18     53     64   0.857
   108    297  6.000 |  1.875  1.361  0.863      20     63     76   0.854
   108    428  5.000 |  1.140  0.952  0.801      22     71     88   0.843
   108    605  4.000 |  1.118  0.936  0.801      22     71     90   0.837
   108    823  3.000 |  1.095  0.918  0.786      22     72     92   0.820
   108   1073  2.000 |  1.063  0.900  0.786      22     72     93   0.819
   108   1257  1.000 |  1.063  0.900  0.786      22     72     93   0.819
   108   1257  0.000 |  1.063  0.900  0.786      22     72     93   0.819
   108   1257 -1.000 |  1.063  0.900  0.786      22     72     93   0.819
   108   1257 -2.000 |  1.063  0.900  0.786      22     72     93   0.819
#
