# 3drism/1tt8_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    70      3 16.000 |  9.815  9.677 10.000       1      2      2   0.397
    70      6 15.000 |  9.595  9.264 10.000       3      5      5   0.374
    70     10 14.000 |  9.376  8.901 10.000       5      7      7   0.332
    70     15 13.000 |  9.038  8.412 10.000       5      8      8   0.552
    70     23 12.000 |  8.391  7.360 10.000      10     14     15   0.520
    70     28 11.000 |  8.051  6.878 10.000      11     17     18   0.526
    70     35 10.000 |  7.490  6.133  9.562      13     21     22   0.530
    70     55  9.000 |  6.798  5.209  4.941      15     24     26   0.577
    70     87  8.000 |  4.848  3.232  1.403      17     29     36   0.674
    70    140  7.000 |  2.514  1.666  0.915      20     36     46   0.761
    70    199  6.000 |  1.700  1.186  0.846      23     43     54   0.748
    70    280  5.000 |  1.186  0.941  0.821      23     46     59   0.750
    70    407  4.000 |  1.090  0.897  0.821      23     46     60   0.737
    70    574  3.000 |  1.049  0.875  0.821      23     46     61   0.748
    70    755  2.000 |  1.049  0.875  0.821      23     46     61   0.748
    70    874  1.000 |  1.049  0.875  0.821      23     46     61   0.748
    70    874  0.000 |  1.049  0.875  0.821      23     46     61   0.748
    70    874 -1.000 |  1.049  0.875  0.821      23     46     61   0.748
    70    874 -2.000 |  1.049  0.875  0.821      23     46     61   0.748
#
