# 3drism/1unq_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    44      1 16.000 |  9.933  9.919 10.000       0      0      0   2.000
    44      5 15.000 |  9.538  9.267 10.000       1      2      2   0.422
    44      9 14.000 |  9.086  8.574 10.000       2      3      3   0.442
    44     11 13.000 |  8.841  8.192 10.000       2      4      4   0.516
    44     14 12.000 |  8.548  7.794 10.000       2      5      5   0.565
    44     21 11.000 |  7.757  6.747 10.000       4      7      8   0.595
    44     34 10.000 |  6.364  4.956  4.149       7     14     15   0.695
    44     51  9.000 |  5.361  3.751  1.933       9     17     20   0.760
    44     75  8.000 |  4.111  2.738  1.115       9     20     25   0.811
    44    115  7.000 |  1.984  1.458  0.933       9     23     30   0.856
    44    181  6.000 |  1.345  1.121  0.884       9     26     33   0.856
    44    260  5.000 |  1.227  1.047  0.884       9     26     34   0.898
    44    388  4.000 |  1.191  1.027  0.884       9     26     35   0.884
    44    563  3.000 |  1.125  0.989  0.884       9     26     36   0.892
    44    742  2.000 |  1.116  0.980  0.884       9     27     36   0.882
    44    874  1.000 |  1.116  0.980  0.884       9     27     36   0.882
    44    874  0.000 |  1.116  0.980  0.884       9     27     36   0.882
    44    874 -1.000 |  1.116  0.980  0.884       9     27     36   0.882
    44    874 -2.000 |  1.116  0.980  0.884       9     27     36   0.882
#
