# 3drism/1vyr_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   155     11 16.000 |  9.684  9.448 10.000       4      7      7   0.626
   155     17 15.000 |  9.550  9.222 10.000       7     10     10   0.532
   155     26 14.000 |  9.302  8.817 10.000      10     13     15   0.647
   155     34 13.000 |  9.058  8.437 10.000      11     15     20   0.725
   155     47 12.000 |  8.656  7.801 10.000      16     22     28   0.703
   155     64 11.000 |  8.174  7.063 10.000      20     31     40   0.744
   155     89 10.000 |  7.505  6.172  8.046      22     37     48   0.747
   155    126  9.000 |  6.654  4.952  3.600      27     51     64   0.773
   155    176  8.000 |  6.130  3.763  1.165      32     67     86   0.760
   155    254  7.000 |  3.116  2.043  0.901      40     82    104   0.722
   155    378  6.000 |  1.984  1.315  0.788      44     92    121   0.761
   155    560  5.000 |  1.640  1.117  0.756      44     94    129   0.783
   155    771  4.000 |  1.491  1.041  0.756      44     94    130   0.804
   155   1078  3.000 |  1.455  1.016  0.756      44     96    133   0.797
   155   1376  2.000 |  1.450  1.013  0.756      44     96    133   0.796
   155   1607  1.000 |  1.450  1.013  0.756      44     96    133   0.796
   155   1607  0.000 |  1.450  1.013  0.756      44     96    133   0.796
   155   1607 -1.000 |  1.450  1.013  0.756      44     96    133   0.796
   155   1607 -2.000 |  1.450  1.013  0.756      44     96    133   0.796
#
