# 3drism/2bf6_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   183     23 16.000 |  9.432  9.064 10.000       6     11     13   0.697
   183     24 15.000 |  9.412  9.040 10.000       6     11     13   0.697
   183     36 14.000 |  9.081  8.480 10.000      11     20     22   0.642
   183     50 13.000 |  8.701  7.871 10.000      14     30     32   0.655
   183     72 12.000 |  8.093  6.968 10.000      19     43     47   0.640
   183     86 11.000 |  7.691  6.404 10.000      24     50     55   0.673
   183    121 10.000 |  6.754  5.256  5.271      32     64     70   0.662
   183    161  9.000 |  6.990  4.571  1.674      38     81     91   0.660
   183    223  8.000 |  4.501  2.849  0.972      43     94    110   0.714
   183    330  7.000 |  2.655  1.704  0.698      49    112    131   0.724
   183    489  6.000 |  1.855  1.209  0.674      51    120    145   0.741
   183    722  5.000 |  1.590  1.058  0.674      51    125    153   0.761
   183   1022  4.000 |  1.521  1.017  0.668      51    126    154   0.761
   183   1397  3.000 |  1.478  0.992  0.668      51    126    155   0.771
   183   1746  2.000 |  1.471  0.987  0.668      51    126    155   0.769
   183   2011  1.000 |  1.471  0.987  0.668      51    126    155   0.769
   183   2011  0.000 |  1.471  0.987  0.668      51    126    155   0.769
   183   2011 -1.000 |  1.471  0.987  0.668      51    126    155   0.769
   183   2011 -2.000 |  1.471  0.987  0.668      51    126    155   0.769
#
