# 3drism/2cws_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    94      4 16.000 |  9.786  9.597 10.000       2      4      4   0.524
    94      6 15.000 |  9.725  9.489 10.000       3      5      5   0.503
    94      8 14.000 |  9.645  9.359 10.000       4      6      6   0.489
    94     11 13.000 |  9.482  9.085 10.000       4      7      8   0.794
    94     28 12.000 |  8.615  7.737 10.000       8     17     18   0.669
    94     41 11.000 |  7.930  6.732 10.000      12     23     25   0.610
    94     60 10.000 |  7.224  5.685  6.284      16     29     33   0.633
    94     74  9.000 |  6.915  4.976  2.783      20     35     39   0.613
    94    108  8.000 |  6.406  3.877  1.716      23     40     46   0.617
    94    162  7.000 |  3.185  2.082  1.106      27     46     56   0.715
    94    242  6.000 |  2.023  1.446  0.890      30     52     63   0.729
    94    365  5.000 |  1.284  0.975  0.648      33     64     76   0.701
    94    536  4.000 |  1.158  0.908  0.648      33     66     79   0.679
    94    731  3.000 |  1.077  0.852  0.635      34     69     82   0.681
    94    955  2.000 |  1.077  0.852  0.635      34     69     82   0.680
    94   1118  1.000 |  1.054  0.835  0.635      34     70     83   0.680
    94   1118  0.000 |  1.054  0.835  0.635      34     70     83   0.680
    94   1118 -1.000 |  1.054  0.835  0.635      34     70     83   0.680
    94   1118 -2.000 |  1.054  0.835  0.635      34     70     83   0.680
#
