# 3drism/2fwh_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    47      1 16.000 |  9.897  9.826 10.000       0      0      0   1.841
    47      2 15.000 |  9.789  9.616 10.000       1      1      1   0.979
    47      4 14.000 |  9.609  9.329 10.000       1      2      2   0.824
    47      4 13.000 |  9.609  9.329 10.000       1      2      2   0.824
    47      8 12.000 |  9.214  8.662 10.000       2      5      5   0.679
    47     13 11.000 |  8.665  7.736 10.000       3      9      9   0.745
    47     26 10.000 |  7.351  5.732  8.582       7     16     18   0.693
    47     43  9.000 |  6.135  4.214  1.841       7     18     21   0.754
    47     64  8.000 |  3.801  2.540  1.258       8     20     25   0.820
    47    109  7.000 |  1.733  1.240  0.834      10     27     34   0.822
    47    147  6.000 |  1.233  0.992  0.752      11     30     38   0.788
    47    238  5.000 |  1.086  0.893  0.720      12     31     41   0.806
    47    340  4.000 |  1.026  0.870  0.720      12     31     41   0.806
    47    483  3.000 |  1.026  0.870  0.720      12     31     41   0.806
    47    650  2.000 |  1.003  0.854  0.720      12     31     42   0.789
    47    756  1.000 |  1.003  0.854  0.720      12     31     42   0.789
    47    756  0.000 |  1.003  0.854  0.720      12     31     42   0.789
    47    756 -1.000 |  1.003  0.854  0.720      12     31     42   0.789
    47    756 -2.000 |  1.003  0.854  0.720      12     31     42   0.789
#
