# 3drism/2pnd_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    59      2 16.000 |  9.830  9.688 10.000       0      1      2   0.792
    59      2 15.000 |  9.830  9.688 10.000       0      1      2   0.792
    59      3 14.000 |  9.782  9.631 10.000       0      1      2   0.792
    59      6 13.000 |  9.561  9.257 10.000       1      3      4   0.668
    59     16 12.000 |  8.777  8.107 10.000       2      6      7   0.745
    59     22 11.000 |  8.298  7.416 10.000       4      8     10   0.683
    59     34 10.000 |  7.168  5.907  6.780       6     14     17   0.743
    59     48  9.000 |  6.237  4.766  4.529      10     19     22   0.671
    59     74  8.000 |  5.331  3.587  1.745      12     22     27   0.761
    59    111  7.000 |  2.620  1.765  0.983      14     30     38   0.785
    59    182  6.000 |  1.627  1.160  0.825      16     35     46   0.805
    59    262  5.000 |  1.057  0.880  0.768      17     38     50   0.825
    59    376  4.000 |  0.950  0.813  0.764      18     39     52   0.813
    59    537  3.000 |  0.930  0.798  0.764      18     40     53   0.798
    59    712  2.000 |  0.927  0.796  0.764      18     40     53   0.796
    59    832  1.000 |  0.927  0.796  0.764      18     40     53   0.796
    59    832  0.000 |  0.927  0.796  0.764      18     40     53   0.796
    59    832 -1.000 |  0.927  0.796  0.764      18     40     53   0.796
    59    832 -2.000 |  0.927  0.796  0.764      18     40     53   0.796
#
