# 3drism/2rbk_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   102      8 16.000 |  9.735  9.581 10.000       2      2      2   0.396
   102     12 15.000 |  9.533  9.217 10.000       3      5      6   0.605
   102     15 14.000 |  9.393  8.985 10.000       5      7      8   0.563
   102     21 13.000 |  9.108  8.500 10.000       9     12     13   0.514
   102     31 12.000 |  8.709  7.919 10.000      10     16     17   0.584
   102     41 11.000 |  8.276  7.255 10.000      12     19     22   0.675
   102     54 10.000 |  7.612  6.330  9.510      16     26     29   0.674
   102     84  9.000 |  8.345  5.720  4.752      19     34     40   0.694
   102    126  8.000 |  4.803  3.347  1.497      22     42     51   0.723
   102    207  7.000 |  2.543  1.769  0.948      27     56     69   0.760
   102    289  6.000 |  1.782  1.265  0.906      28     64     80   0.785
   102    424  5.000 |  1.355  0.996  0.826      29     72     89   0.769
   102    615  4.000 |  1.207  0.913  0.796      29     75     92   0.779
   102    878  3.000 |  1.192  0.902  0.796      29     75     93   0.783
   102   1114  2.000 |  1.192  0.902  0.796      29     75     93   0.783
   102   1287  1.000 |  1.192  0.902  0.796      29     75     93   0.783
   102   1287  0.000 |  1.192  0.902  0.796      29     75     93   0.783
   102   1287 -1.000 |  1.192  0.902  0.796      29     75     93   0.783
   102   1287 -2.000 |  1.192  0.902  0.796      29     75     93   0.783
#
