# 3drism/2vha_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    88      7 16.000 |  9.610  9.279 10.000       6      6      6   0.225
    88     13 15.000 |  9.332  8.828 10.000       7      9      9   0.330
    88     21 14.000 |  8.897  8.160 10.000      11     13     13   0.325
    88     26 13.000 |  8.587  7.667 10.000      14     16     17   0.374
    88     32 12.000 |  8.247  7.167 10.000      16     20     21   0.415
    88     46 11.000 |  7.464  6.111  9.151      18     26     29   0.502
    88     68 10.000 |  6.611  5.046  5.226      22     33     36   0.500
    88    102  9.000 |  6.038  3.988  1.355      26     41     45   0.531
    88    153  8.000 |  3.635  2.394  0.832      29     48     55   0.570
    88    224  7.000 |  2.290  1.480  0.686      34     57     66   0.596
    88    342  6.000 |  1.491  0.960  0.652      35     67     79   0.626
    88    500  5.000 |  1.420  0.923  0.652      35     67     80   0.633
    88    663  4.000 |  1.398  0.915  0.652      35     67     80   0.630
    88    973  3.000 |  1.387  0.906  0.652      35     67     81   0.639
    88   1251  2.000 |  1.387  0.906  0.652      35     67     81   0.639
    88   1416  1.000 |  1.387  0.906  0.652      35     67     81   0.639
    88   1416  0.000 |  1.387  0.906  0.652      35     67     81   0.639
    88   1416 -1.000 |  1.387  0.906  0.652      35     67     81   0.639
    88   1416 -2.000 |  1.387  0.906  0.652      35     67     81   0.639
#
