# 3drism/2xod_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    29      0 16.000 | 10.000 10.000 10.000       0      0      0   2.000
    29      0 15.000 | 10.000 10.000 10.000       0      0      0   2.000
    29      3 14.000 |  9.575  9.293 10.000       0      1      2   0.993
    29      4 13.000 |  9.393  8.958 10.000       1      2      3   0.751
    29      8 12.000 |  8.780  8.055 10.000       1      4      5   0.761
    29     13 11.000 |  7.965  6.854 10.000       4      7      8   0.631
    29     24 10.000 |  7.416  5.897  6.205       4      8     10   0.699
    29     34  9.000 |  7.091  5.175  5.104       4      9     12   0.724
    29     62  8.000 |  3.410  2.500  1.288       5     11     15   0.806
    29     95  7.000 |  2.379  1.770  1.160       5     12     17   0.897
    29    151  6.000 |  1.633  1.329  1.029       5     14     19   0.912
    29    231  5.000 |  1.266  1.099  0.967       5     15     21   0.941
    29    339  4.000 |  1.210  1.050  0.900       5     16     22   0.932
    29    495  3.000 |  1.210  1.050  0.900       5     16     22   0.932
    29    643  2.000 |  1.179  1.033  0.900       5     16     23   0.926
    29    762  1.000 |  1.179  1.033  0.900       5     16     23   0.926
    29    762  0.000 |  1.179  1.033  0.900       5     16     23   0.926
    29    762 -1.000 |  1.179  1.033  0.900       5     16     23   0.926
    29    762 -2.000 |  1.179  1.033  0.900       5     16     23   0.926
#
