# 3drism/2xom_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    59      2 16.000 |  9.830  9.675 10.000       1      2      2   0.405
    59      3 15.000 |  9.743  9.514 10.000       1      3      3   0.438
    59      5 14.000 |  9.653  9.353 10.000       1      4      4   0.509
    59      6 13.000 |  9.566  9.200 10.000       1      5      5   0.601
    59     11 12.000 |  9.168  8.516 10.000       3      9      9   0.547
    59     23 11.000 |  8.153  6.968 10.000       6     15     17   0.597
    59     35 10.000 |  7.394  5.871  6.933       9     19     22   0.589
    59     49  9.000 |  6.471  4.651  2.862      10     22     28   0.686
    59     75  8.000 |  5.593  3.432  1.032      11     29     35   0.704
    59    121  7.000 |  2.566  1.718  0.909      14     33     41   0.757
    59    181  6.000 |  1.571  1.175  0.871      15     35     45   0.825
    59    269  5.000 |  1.172  0.951  0.762      15     37     49   0.851
    59    405  4.000 |  1.134  0.922  0.762      15     37     51   0.843
    59    566  3.000 |  1.131  0.919  0.762      15     37     51   0.841
    59    726  2.000 |  1.131  0.919  0.762      15     37     51   0.841
    59    860  1.000 |  1.131  0.919  0.762      15     37     51   0.841
    59    860  0.000 |  1.131  0.919  0.762      15     37     51   0.841
    59    860 -1.000 |  1.131  0.919  0.762      15     37     51   0.841
    59    860 -2.000 |  1.131  0.919  0.762      15     37     51   0.841
#
