# 3drism/2xu3_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   102      9 16.000 |  9.574  9.236 10.000       5      7      7   0.416
   102     11 15.000 |  9.471  9.048 10.000       6      9      9   0.416
   102     13 14.000 |  9.367  8.857 10.000       8     11     11   0.391
   102     19 13.000 |  9.103  8.429 10.000      10     15     15   0.439
   102     27 12.000 |  8.731  7.865 10.000      11     17     18   0.667
   102     33 11.000 |  8.406  7.373 10.000      13     21     22   0.639
   102     46 10.000 |  7.718  6.380 10.000      19     29     31   0.644
   102     68  9.000 |  6.579  4.915  3.063      23     37     44   0.695
   102    107  8.000 |  6.112  3.706  1.079      27     49     58   0.669
   102    168  7.000 |  2.898  1.849  0.819      29     59     69   0.707
   102    260  6.000 |  1.894  1.285  0.755      31     65     77   0.731
   102    376  5.000 |  1.475  1.040  0.691      33     69     84   0.745
   102    550  4.000 |  1.371  0.977  0.691      33     71     86   0.741
   102    793  3.000 |  1.371  0.977  0.691      33     71     86   0.741
   102   1017  2.000 |  1.350  0.960  0.691      33     72     87   0.743
   102   1191  1.000 |  1.350  0.960  0.691      33     72     87   0.743
   102   1191  0.000 |  1.350  0.960  0.691      33     72     87   0.743
   102   1191 -1.000 |  1.350  0.960  0.691      33     72     87   0.743
   102   1191 -2.000 |  1.350  0.960  0.691      33     72     87   0.743
#
