# 3drism/2y78_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    57      1 16.000 |  9.912  9.827 10.000       1      1      1   0.138
    57      4 15.000 |  9.676  9.428 10.000       2      3      3   0.457
    57      4 14.000 |  9.676  9.428 10.000       2      3      3   0.457
    57      6 13.000 |  9.494  9.090 10.000       3      5      5   0.427
    57     11 12.000 |  9.085  8.452 10.000       4      7      8   0.548
    57     17 11.000 |  8.496  7.500 10.000       6     11     13   0.558
    57     19 10.000 |  8.384  7.384 10.000       6     11     13   0.558
    57     31  9.000 |  7.176  5.772  6.111       9     17     20   0.588
    57     52  8.000 |  7.210  4.587  2.465      13     21     25   0.617
    57     88  7.000 |  4.168  2.725  1.294      16     25     31   0.656
    57    140  6.000 |  2.237  1.517  0.732      17     32     40   0.700
    57    233  5.000 |  1.347  0.962  0.657      19     37     48   0.733
    57    336  4.000 |  1.174  0.834  0.626      21     40     52   0.704
    57    516  3.000 |  1.165  0.831  0.626      21     40     52   0.704
    57    692  2.000 |  1.165  0.831  0.626      21     40     52   0.704
    57    801  1.000 |  1.165  0.831  0.626      21     40     52   0.704
    57    801  0.000 |  1.165  0.831  0.626      21     40     52   0.704
    57    801 -1.000 |  1.165  0.831  0.626      21     40     52   0.704
    57    801 -2.000 |  1.165  0.831  0.626      21     40     52   0.704
#
