# 3drism/3aks_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    86      4 16.000 |  9.812  9.721 10.000       0      1      1   0.694
    86      4 15.000 |  9.812  9.721 10.000       0      1      1   0.694
    86      6 14.000 |  9.702  9.542 10.000       0      2      2   0.644
    86      9 13.000 |  9.524  9.233 10.000       1      4      4   0.618
    86     14 12.000 |  9.239  8.753 10.000       1      6      8   0.964
    86     23 11.000 |  8.855  8.261 10.000       1      7      9   0.949
    86     38 10.000 |  8.134  7.185 10.000       2     14     16   0.854
    86     56  9.000 |  7.392  6.014  6.433       3     23     25   0.824
    86     87  8.000 |  8.953  5.759  3.087       5     30     35   0.821
    86    131  7.000 |  3.791  2.660  1.225       7     39     47   0.830
    86    205  6.000 |  2.120  1.454  0.864      13     51     64   0.829
    86    300  5.000 |  1.465  1.109  0.806      15     55     70   0.827
    86    430  4.000 |  1.201  0.952  0.769      17     59     75   0.813
    86    603  3.000 |  1.134  0.915  0.769      17     60     76   0.825
    86    780  2.000 |  1.123  0.906  0.769      17     60     77   0.817
    86    925  1.000 |  1.123  0.906  0.769      17     60     77   0.817
    86    925  0.000 |  1.123  0.906  0.769      17     60     77   0.817
    86    925 -1.000 |  1.123  0.906  0.769      17     60     77   0.817
    86    925 -2.000 |  1.123  0.906  0.769      17     60     77   0.817
#
