# 3drism/3jyo_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   112      6 16.000 |  9.791  9.643 10.000       2      3      3   0.399
   112      8 15.000 |  9.704  9.483 10.000       2      5      5   0.465
   112     11 14.000 |  9.589  9.319 10.000       2      5      5   0.692
   112     17 13.000 |  9.317  8.853 10.000       6      9      9   0.524
   112     28 12.000 |  8.932  8.309 10.000       7     12     12   0.519
   112     43 11.000 |  8.286  7.357 10.000      11     18     19   0.613
   112     62 10.000 |  7.302  5.984  7.446      17     30     33   0.624
   112     93  9.000 |  6.197  4.601  3.456      18     37     45   0.686
   112    146  8.000 |  4.424  2.933  1.317      21     46     58   0.757
   112    216  7.000 |  2.658  1.877  1.065      24     54     70   0.777
   112    317  6.000 |  1.772  1.323  0.900      27     61     82   0.818
   112    473  5.000 |  1.428  1.114  0.846      30     65     88   0.822
   112    657  4.000 |  1.307  1.033  0.815      31     68     91   0.831
   112    945  3.000 |  1.262  0.992  0.809      32     70     96   0.802
   112   1237  2.000 |  1.262  0.992  0.809      32     70     96   0.802
   112   1446  1.000 |  1.262  0.992  0.809      32     70     96   0.802
   112   1446  0.000 |  1.262  0.992  0.809      32     70     96   0.802
   112   1446 -1.000 |  1.262  0.992  0.809      32     70     96   0.802
   112   1446 -2.000 |  1.262  0.992  0.809      32     70     96   0.802
#
