# 3drism/3l8w_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    92      9 16.000 |  9.550  9.199 10.000       4      6      7   0.528
    92     13 15.000 |  9.362  8.873 10.000       6      9     10   0.516
    92     13 14.000 |  9.362  8.873 10.000       6      9     10   0.516
    92     25 13.000 |  8.738  7.863 10.000      11     15     19   0.588
    92     39 12.000 |  7.996  6.792 10.000      15     23     27   0.571
    92     50 11.000 |  7.586  6.108  9.813      19     29     33   0.541
    92     74 10.000 |  7.442  5.425  5.020      20     34     40   0.587
    92    107  9.000 |  8.500  4.654  1.224      23     42     50   0.626
    92    159  8.000 |  3.916  2.574  0.989      27     46     56   0.628
    92    258  7.000 |  2.173  1.495  0.836      30     53     67   0.673
    92    404  6.000 |  1.418  1.047  0.773      32     60     75   0.685
    92    615  5.000 |  1.030  0.845  0.731      32     63     83   0.734
    92    880  4.000 |  0.888  0.768  0.700      32     65     87   0.753
    92   1278  3.000 |  0.884  0.766  0.700      32     65     87   0.750
    92   1681  2.000 |  0.880  0.763  0.700      32     65     88   0.748
    92   1945  1.000 |  0.880  0.763  0.700      32     65     88   0.748
    92   1945  0.000 |  0.880  0.763  0.700      32     65     88   0.748
    92   1945 -1.000 |  0.880  0.763  0.700      32     65     88   0.748
    92   1945 -2.000 |  0.880  0.763  0.700      32     65     88   0.748
#
