# 3drism/3m5q_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   152      6 16.000 |  9.815  9.662 10.000       3      5      5   0.442
   152     14 15.000 |  9.557  9.205 10.000       8     11     11   0.415
   152     22 14.000 |  9.326  8.836 10.000       9     14     16   0.550
   152     30 13.000 |  9.065  8.419 10.000      11     18     20   0.579
   152     48 12.000 |  8.470  7.503 10.000      15     26     33   0.636
   152     58 11.000 |  8.120  6.959 10.000      18     33     41   0.662
   152     85 10.000 |  7.315  5.926  7.144      23     42     51   0.676
   152    124  9.000 |  6.219  4.383  1.900      28     60     71   0.710
   152    176  8.000 |  4.984  2.971  1.036      33     72     90   0.750
   152    259  7.000 |  2.630  1.720  0.894      39     83    106   0.754
   152    415  6.000 |  1.748  1.213  0.789      42     90    119   0.772
   152    591  5.000 |  1.542  1.070  0.737      45     95    127   0.776
   152    801  4.000 |  1.513  1.048  0.723      46     96    128   0.773
   152   1103  3.000 |  1.503  1.042  0.723      46     96    128   0.781
   152   1430  2.000 |  1.497  1.036  0.723      46     97    129   0.775
   152   1645  1.000 |  1.497  1.036  0.723      46     97    129   0.775
   152   1645  0.000 |  1.497  1.036  0.723      46     97    129   0.775
   152   1645 -1.000 |  1.497  1.036  0.723      46     97    129   0.775
   152   1645 -2.000 |  1.497  1.036  0.723      46     97    129   0.775
#
