# 3drism/3noq_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    59      2 16.000 |  9.856  9.793 10.000       0      0      0   2.000
    59      6 15.000 |  9.679  9.487 10.000       2      2      2   0.344
    59      8 14.000 |  9.526  9.200 10.000       2      4      4   0.543
    59     14 13.000 |  9.179  8.702 10.000       2      4      5   0.816
    59     22 12.000 |  8.761  7.893 10.000       5      8     10   0.684
    59     32 11.000 |  8.013  6.830 10.000       5     10     14   0.777
    59     43 10.000 |  8.028  6.391  6.790       5     12     16   0.855
    59     64  9.000 |  8.529  5.653  2.287       8     18     24   0.841
    59     94  8.000 |  4.481  2.845  1.214      12     25     34   0.803
    59    151  7.000 |  1.979  1.383  0.802      14     32     41   0.850
    59    244  6.000 |  1.310  1.057  0.772      15     34     45   0.876
    59    376  5.000 |  1.019  0.880  0.732      16     39     51   0.826
    59    557  4.000 |  0.980  0.854  0.727      16     40     52   0.809
    59    802  3.000 |  0.949  0.837  0.727      16     40     53   0.816
    59   1077  2.000 |  0.949  0.837  0.727      16     40     53   0.816
    59   1256  1.000 |  0.949  0.837  0.727      16     40     53   0.816
    59   1256  0.000 |  0.949  0.837  0.727      16     40     53   0.816
    59   1256 -1.000 |  0.949  0.837  0.727      16     40     53   0.816
    59   1256 -2.000 |  0.949  0.837  0.727      16     40     53   0.816
#
