# 3drism/3ql9_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    54      2 16.000 |  9.813  9.642 10.000       1      2      2   0.332
    54      4 15.000 |  9.646  9.365 10.000       2      3      3   0.283
    54      4 14.000 |  9.646  9.365 10.000       2      3      3   0.283
    54      7 13.000 |  9.455  9.079 10.000       3      4      4   0.318
    54     10 12.000 |  9.212  8.729 10.000       3      4      4   0.582
    54     18 11.000 |  8.484  7.629 10.000       5      8      8   0.515
    54     25 10.000 |  8.050  7.027 10.000       6     11     11   0.527
    54     39  9.000 |  7.399  5.920  6.702       8     18     18   0.557
    54     74  8.000 |  4.573  3.051  1.021      11     27     31   0.679
    54    113  7.000 |  2.897  1.834  0.812      11     31     37   0.730
    54    170  6.000 |  1.545  1.041  0.701      13     38     45   0.743
    54    265  5.000 |  1.170  0.897  0.701      13     38     46   0.788
    54    395  4.000 |  0.963  0.823  0.701      13     39     47   0.766
    54    557  3.000 |  0.919  0.798  0.701      13     39     48   0.771
    54    732  2.000 |  0.919  0.798  0.701      13     39     48   0.771
    54    858  1.000 |  0.919  0.798  0.701      13     39     48   0.771
    54    858  0.000 |  0.919  0.798  0.701      13     39     48   0.771
    54    858 -1.000 |  0.919  0.798  0.701      13     39     48   0.771
    54    858 -2.000 |  0.919  0.798  0.701      13     39     48   0.771
#
