# 3drism/3qpa_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    73      3 16.000 |  9.793  9.603 10.000       2      3      3   0.348
    73      6 15.000 |  9.591  9.274 10.000       2      4      4   0.422
    73     12 14.000 |  9.318  8.861 10.000       4      6      6   0.382
    73     16 13.000 |  9.021  8.343 10.000       7      9     10   0.447
    73     18 12.000 |  8.889  8.136 10.000       7      9     11   0.622
    73     29 11.000 |  8.191  7.055 10.000      11     16     18   0.575
    73     39 10.000 |  7.531  6.157  9.476      14     20     22   0.619
    73     50  9.000 |  7.118  5.637  6.847      15     22     24   0.646
    73     89  8.000 |  5.186  3.591  1.324      20     33     37   0.634
    73    143  7.000 |  3.046  1.987  0.859      24     41     49   0.675
    73    211  6.000 |  1.801  1.219  0.717      27     47     56   0.690
    73    307  5.000 |  1.244  0.908  0.646      29     53     63   0.694
    73    424  4.000 |  0.981  0.784  0.632      30     56     66   0.682
    73    614  3.000 |  0.981  0.784  0.632      30     56     66   0.682
    73    822  2.000 |  0.981  0.784  0.632      30     56     66   0.682
    73    959  1.000 |  0.981  0.784  0.632      30     56     66   0.682
    73    959  0.000 |  0.981  0.784  0.632      30     56     66   0.682
    73    959 -1.000 |  0.981  0.784  0.632      30     56     66   0.682
    73    959 -2.000 |  0.981  0.784  0.632      30     56     66   0.682
#
