# 3drism/3vii_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   197     22 16.000 |  9.456  9.033 10.000      12     16     17   0.431
   197     29 15.000 |  9.275  8.719 10.000      17     22     23   0.424
   197     40 14.000 |  8.997  8.260 10.000      21     30     31   0.440
   197     50 13.000 |  8.801  7.955 10.000      24     35     36   0.451
   197     65 12.000 |  8.467  7.457 10.000      28     41     43   0.474
   197     84 11.000 |  8.048  6.890 10.000      31     48     51   0.534
   197    110 10.000 |  7.349  5.967  7.639      36     57     62   0.592
   197    160  9.000 |  6.727  4.809  3.341      43     71     79   0.627
   197    211  8.000 |  6.276  3.883  1.501      51     87     98   0.635
   197    313  7.000 |  3.145  2.057  0.904      59    109    125   0.672
   197    480  6.000 |  1.946  1.300  0.779      64    126    147   0.708
   197    704  5.000 |  1.644  1.066  0.663      69    139    165   0.701
   197    963  4.000 |  1.569  1.020  0.648      70    142    170   0.682
   197   1340  3.000 |  1.456  0.960  0.636      71    144    172   0.687
   197   1736  2.000 |  1.402  0.940  0.636      71    144    172   0.700
   197   2012  1.000 |  1.402  0.940  0.636      71    144    172   0.700
   197   2012  0.000 |  1.402  0.940  0.636      71    144    172   0.700
   197   2012 -1.000 |  1.402  0.940  0.636      71    144    172   0.700
   197   2012 -2.000 |  1.402  0.940  0.636      71    144    172   0.700
#
