# 3drism/3vor_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    75      5 16.000 |  9.710  9.503 10.000       1      3      3   0.498
    75      5 15.000 |  9.710  9.503 10.000       1      3      3   0.498
    75      5 14.000 |  9.710  9.503 10.000       1      3      3   0.498
    75      8 13.000 |  9.532  9.199 10.000       3      5      5   0.446
    75     14 12.000 |  9.151  8.552 10.000       6      9      9   0.437
    75     26 11.000 |  8.488  7.606 10.000       9     12     13   0.455
    75     37 10.000 |  7.834  6.732 10.000      12     16     17   0.469
    75     52  9.000 |  6.887  5.586  5.234      13     19     21   0.554
    75     94  8.000 |  5.077  3.196  1.250      20     35     41   0.640
    75    131  7.000 |  3.177  2.151  0.841      22     40     46   0.651
    75    210  6.000 |  1.808  1.228  0.725      28     49     57   0.692
    75    299  5.000 |  1.425  0.995  0.606      29     53     61   0.702
    75    446  4.000 |  1.316  0.950  0.606      29     53     61   0.739
    75    630  3.000 |  1.250  0.925  0.606      29     53     61   0.733
    75    813  2.000 |  1.210  0.895  0.585      29     54     62   0.730
    75    958  1.000 |  1.210  0.895  0.585      29     54     62   0.730
    75    958  0.000 |  1.210  0.895  0.585      29     54     62   0.730
    75    958 -1.000 |  1.210  0.895  0.585      29     54     62   0.730
    75    958 -2.000 |  1.210  0.895  0.585      29     54     62   0.730
#
