# 3drism/3wdn_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    37      1 16.000 |  9.864  9.738 10.000       1      1      1   0.311
    37      1 15.000 |  9.864  9.738 10.000       1      1      1   0.311
    37      1 14.000 |  9.864  9.738 10.000       1      1      1   0.311
    37      3 13.000 |  9.772  9.623 10.000       1      1      1   0.311
    37      8 12.000 |  9.226  8.793 10.000       3      3      3   0.391
    37     16 11.000 |  8.247  7.372 10.000       5      6      6   0.416
    37     21 10.000 |  7.586  6.484  8.089       7      8      8   0.367
    37     40  9.000 |  6.907  5.135  4.581       8     11     12   0.520
    37     61  8.000 |  5.148  3.805  3.184       9     13     16   0.610
    37     99  7.000 |  3.082  2.233  1.282      10     18     21   0.675
    37    162  6.000 |  1.552  1.047  0.754      13     28     32   0.689
    37    239  5.000 |  0.964  0.772  0.754      13     30     36   0.693
    37    366  4.000 |  0.809  0.720  0.754      13     30     36   0.720
    37    547  3.000 |  0.809  0.720  0.754      13     30     36   0.720
    37    705  2.000 |  0.809  0.720  0.754      13     30     36   0.720
    37    828  1.000 |  0.809  0.720  0.754      13     30     36   0.720
    37    828  0.000 |  0.809  0.720  0.754      13     30     36   0.720
    37    828 -1.000 |  0.809  0.720  0.754      13     30     36   0.720
    37    828 -2.000 |  0.809  0.720  0.754      13     30     36   0.720
#
