# 3drism/3zuc_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    84      6 16.000 |  9.674  9.432 10.000       3      4      4   0.332
    84      8 15.000 |  9.565  9.257 10.000       4      5      5   0.353
    84     10 14.000 |  9.441  9.041 10.000       5      6      6   0.517
    84     15 13.000 |  9.136  8.526 10.000       8     10     10   0.510
    84     19 12.000 |  8.941  8.229 10.000      10     12     12   0.485
    84     27 11.000 |  8.402  7.369 10.000      13     18     18   0.480
    84     38 10.000 |  7.696  6.360 10.000      14     22     24   0.606
    84     53  9.000 |  6.749  5.260  4.730      16     25     28   0.669
    84     74  8.000 |  5.705  4.033  2.269      18     32     36   0.705
    84    121  7.000 |  3.450  2.274  1.066      20     41     48   0.754
    84    184  6.000 |  1.987  1.406  0.823      22     47     58   0.801
    84    276  5.000 |  1.398  1.031  0.710      24     55     68   0.786
    84    387  4.000 |  1.297  0.963  0.696      24     56     71   0.792
    84    545  3.000 |  1.224  0.908  0.681      25     57     73   0.813
    84    717  2.000 |  1.224  0.908  0.681      25     57     73   0.813
    84    845  1.000 |  1.224  0.908  0.681      25     57     73   0.813
    84    845  0.000 |  1.224  0.908  0.681      25     57     73   0.813
    84    845 -1.000 |  1.224  0.908  0.681      25     57     73   0.813
    84    845 -2.000 |  1.224  0.908  0.681      25     57     73   0.813
#
