# 3drism/4a02_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    65      4 16.000 |  9.694  9.448 10.000       2      3      3   0.485
    65      7 15.000 |  9.488  9.134 10.000       3      4      4   0.446
    65     10 14.000 |  9.300  8.835 10.000       4      5      5   0.398
    65     17 13.000 |  8.771  7.956 10.000       5      9     11   0.562
    65     25 12.000 |  8.180  7.080 10.000       8     13     16   0.563
    65     30 11.000 |  7.801  6.547 10.000       9     16     19   0.552
    65     38 10.000 |  7.037  5.545  5.275      13     21     24   0.510
    65     52  9.000 |  6.995  4.727  2.262      14     26     30   0.621
    65     76  8.000 |  6.462  3.571  1.017      15     31     38   0.654
    65    124  7.000 |  2.543  1.671  0.749      18     36     46   0.657
    65    190  6.000 |  2.069  1.440  0.728      18     37     47   0.682
    65    279  5.000 |  1.721  1.219  0.694      18     39     50   0.683
    65    413  4.000 |  1.643  1.137  0.679      19     41     53   0.686
    65    573  3.000 |  1.577  1.095  0.679      19     41     54   0.694
    65    745  2.000 |  1.566  1.088  0.679      19     41     54   0.694
    65    868  1.000 |  1.566  1.088  0.679      19     41     54   0.694
    65    868  0.000 |  1.566  1.088  0.679      19     41     54   0.694
    65    868 -1.000 |  1.566  1.088  0.679      19     41     54   0.694
    65    868 -2.000 |  1.566  1.088  0.679      19     41     54   0.694
#
