# 3drism/4a7u_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    52      1 16.000 |  9.904  9.815 10.000       1      1      1   0.405
    52      3 15.000 |  9.764  9.591 10.000       1      2      2   0.587
    52      4 14.000 |  9.666  9.410 10.000       1      3      3   0.582
    52      8 13.000 |  9.335  8.905 10.000       2      4      4   0.735
    52     13 12.000 |  8.923  8.258 10.000       4      6      7   0.715
    52     21 11.000 |  8.223  7.179 10.000       6     10     12   0.678
    52     28 10.000 |  7.563  6.283  8.754       7     14     16   0.663
    52     38  9.000 |  6.667  5.170  5.669       8     17     20   0.729
    52     71  8.000 |  3.878  2.585  1.064      12     25     30   0.797
    52    110  7.000 |  2.255  1.636  0.994      12     26     34   0.830
    52    188  6.000 |  1.522  1.112  0.857      14     32     44   0.792
    52    271  5.000 |  1.038  0.890  0.821      14     33     48   0.796
    52    406  4.000 |  0.958  0.839  0.804      15     34     49   0.784
    52    593  3.000 |  0.958  0.839  0.804      15     34     49   0.784
    52    751  2.000 |  0.896  0.807  0.804      15     34     50   0.807
    52    871  1.000 |  0.896  0.807  0.804      15     34     50   0.807
    52    871  0.000 |  0.896  0.807  0.804      15     34     50   0.807
    52    871 -1.000 |  0.896  0.807  0.804      15     34     50   0.807
    52    871 -2.000 |  0.896  0.807  0.804      15     34     50   0.807
#
