# 3drism/4ce8_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    52      3 16.000 |  9.714  9.481 10.000       2      2      2   0.232
    52      3 15.000 |  9.714  9.481 10.000       2      2      2   0.232
    52      3 14.000 |  9.714  9.481 10.000       2      2      2   0.232
    52      5 13.000 |  9.566  9.243 10.000       3      3      3   0.302
    52     11 12.000 |  9.087  8.414 10.000       7      7      7   0.341
    52     13 11.000 |  8.883  8.097 10.000       7      8      8   0.387
    52     18 10.000 |  8.364  7.312 10.000       7     11     12   0.550
    52     32  9.000 |  7.234  5.811  6.794       8     17     19   0.611
    52     45  8.000 |  6.745  4.912  3.251       9     18     21   0.607
    52     77  7.000 |  3.468  2.478  1.368      10     22     27   0.709
    52    126  6.000 |  2.126  1.581  0.844      13     28     33   0.674
    52    217  5.000 |  1.527  1.121  0.771      15     35     42   0.701
    52    307  4.000 |  1.198  0.940  0.771      15     36     46   0.743
    52    447  3.000 |  1.134  0.891  0.752      16     37     47   0.733
    52    600  2.000 |  1.089  0.863  0.752      16     37     48   0.740
    52    695  1.000 |  1.089  0.863  0.752      16     37     48   0.740
    52    695  0.000 |  1.089  0.863  0.752      16     37     48   0.740
    52    695 -1.000 |  1.089  0.863  0.752      16     37     48   0.740
    52    695 -2.000 |  1.089  0.863  0.752      16     37     48   0.740
#
