# 3drism/4iau_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    74      4 16.000 |  9.728  9.505 10.000       1      2      4   0.841
    74      6 15.000 |  9.613  9.321 10.000       2      3      5   0.769
    74      6 14.000 |  9.613  9.321 10.000       2      3      5   0.769
    74     12 13.000 |  9.218  8.662 10.000       2      7      9   0.713
    74     16 12.000 |  8.922  8.165 10.000       2      9     13   0.742
    74     25 11.000 |  8.314  7.249 10.000       4     14     19   0.709
    74     39 10.000 |  7.459  6.023  9.342       6     22     27   0.698
    74     58  9.000 |  6.711  4.675  1.832      11     30     36   0.666
    74     90  8.000 |  4.746  3.150  1.098      14     33     43   0.698
    74    128  7.000 |  2.935  1.887  0.812      15     40     51   0.744
    74    201  6.000 |  1.785  1.186  0.727      18     48     61   0.742
    74    297  5.000 |  1.119  0.896  0.681      18     49     67   0.769
    74    412  4.000 |  1.074  0.878  0.681      18     49     67   0.768
    74    570  3.000 |  0.971  0.808  0.639      20     51     70   0.764
    74    748  2.000 |  0.971  0.808  0.639      20     51     70   0.764
    74    892  1.000 |  0.971  0.808  0.639      20     51     70   0.764
    74    892  0.000 |  0.971  0.808  0.639      20     51     70   0.764
    74    892 -1.000 |  0.971  0.808  0.639      20     51     70   0.764
    74    892 -2.000 |  0.971  0.808  0.639      20     51     70   0.764
#
