# 3drism/4n1i_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   146     12 16.000 |  9.615  9.325 10.000       5      9      9   0.512
   146     17 15.000 |  9.446  9.031 10.000       8     13     13   0.495
   146     26 14.000 |  9.185  8.618 10.000      12     18     18   0.475
   146     35 13.000 |  8.877  8.111 10.000      14     24     25   0.511
   146     50 12.000 |  8.420  7.389 10.000      17     31     34   0.574
   146     64 11.000 |  7.912  6.640 10.000      18     38     44   0.609
   146     87 10.000 |  7.270  5.761  6.830      25     47     55   0.601
   146    129  9.000 |  6.114  4.047  1.136      37     69     78   0.648
   146    170  8.000 |  5.611  3.177  0.872      43     82     93   0.650
   146    240  7.000 |  3.147  1.914  0.703      45     90    102   0.662
   146    342  6.000 |  2.090  1.305  0.653      50     98    112   0.689
   146    505  5.000 |  1.694  1.061  0.641      51    106    121   0.685
   146    692  4.000 |  1.587  0.981  0.627      51    108    126   0.691
   146    922  3.000 |  1.523  0.936  0.622      52    109    129   0.698
   146   1206  2.000 |  1.523  0.936  0.622      52    109    129   0.698
   146   1394  1.000 |  1.523  0.936  0.622      52    109    129   0.698
   146   1394  0.000 |  1.523  0.936  0.622      52    109    129   0.698
   146   1394 -1.000 |  1.523  0.936  0.622      52    109    129   0.698
   146   1394 -2.000 |  1.523  0.936  0.622      52    109    129   0.698
#
