# 3drism/4psy_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    69      2 16.000 |  9.892  9.820 10.000       1      1      1   0.419
    69      3 15.000 |  9.818  9.683 10.000       1      2      2   0.493
    69      4 14.000 |  9.745  9.551 10.000       1      3      3   0.614
    69      9 13.000 |  9.410  8.957 10.000       4      7      7   0.504
    69     18 12.000 |  8.899  8.175 10.000       4     10     11   0.657
    69     21 11.000 |  8.697  7.859 10.000       6     12     13   0.621
    69     35 10.000 |  7.772  6.547 10.000       9     19     21   0.629
    69     48  9.000 |  7.277  5.786  6.682      11     22     26   0.647
    69     85  8.000 |  5.529  3.527  0.912      15     36     42   0.660
    69    138  7.000 |  2.190  1.396  0.814      18     43     54   0.758
    69    208  6.000 |  1.372  1.046  0.787      18     44     56   0.790
    69    310  5.000 |  1.012  0.875  0.750      18     47     59   0.817
    69    448  4.000 |  0.933  0.821  0.749      18     50     62   0.803
    69    655  3.000 |  0.927  0.818  0.749      18     50     62   0.818
    69    836  2.000 |  0.927  0.818  0.749      18     50     62   0.818
    69    973  1.000 |  0.927  0.818  0.749      18     50     62   0.818
    69    973  0.000 |  0.927  0.818  0.749      18     50     62   0.818
    69    973 -1.000 |  0.927  0.818  0.749      18     50     62   0.818
    69    973 -2.000 |  0.927  0.818  0.749      18     50     62   0.818
#
