# FoldX/1byi_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    87    144  0.000 |  3.308  2.379  1.379       9     32     47   0.966
    87    144  0.000 |  3.308  2.379  1.379       9     32     47   0.966
    87    144  0.000 |  3.308  2.379  1.379       9     32     47   0.966
    87    144  0.000 |  3.308  2.379  1.379       9     32     47   0.966
    87    144  0.000 |  3.308  2.379  1.379       9     32     47   0.966
    87    144  0.000 |  3.308  2.379  1.379       9     32     47   0.966
    87    144  0.000 |  3.308  2.379  1.379       9     32     47   0.966
    87    144  0.000 |  3.308  2.379  1.379       9     32     47   0.966
    87    144  0.000 |  3.308  2.379  1.379       9     32     47   0.966
    87    144  0.000 |  3.308  2.379  1.379       9     32     47   0.966
    87    144  0.000 |  3.308  2.379  1.379       9     32     47   0.966
    87    144  0.000 |  3.308  2.379  1.379       9     32     47   0.966
    87    144  0.000 |  3.308  2.379  1.379       9     32     47   0.966
    87    144  0.000 |  3.308  2.379  1.379       9     32     47   0.966
    87    144  0.000 |  3.308  2.379  1.379       9     32     47   0.966
    87    144  0.000 |  3.308  2.379  1.379       9     32     47   0.966
    87    144  0.000 |  3.308  2.379  1.379       9     32     47   0.966
    87    144  0.000 |  3.308  2.379  1.379       9     32     47   0.966
    87    144  0.000 |  3.308  2.379  1.379       9     32     47   0.966
    87    144  0.000 |  3.308  2.379  1.379       9     32     47   0.966
    87    144  0.000 |  3.308  2.379  1.379       9     32     47   0.966
#
