# FoldX/1g66_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    71    140  0.000 |  3.060  2.236  1.354      12     19     39   1.001
    71    140  0.000 |  3.060  2.236  1.354      12     19     39   1.001
    71    140  0.000 |  3.060  2.236  1.354      12     19     39   1.001
    71    140  0.000 |  3.060  2.236  1.354      12     19     39   1.001
    71    140  0.000 |  3.060  2.236  1.354      12     19     39   1.001
    71    140  0.000 |  3.060  2.236  1.354      12     19     39   1.001
    71    140  0.000 |  3.060  2.236  1.354      12     19     39   1.001
    71    140  0.000 |  3.060  2.236  1.354      12     19     39   1.001
    71    140  0.000 |  3.060  2.236  1.354      12     19     39   1.001
    71    140  0.000 |  3.060  2.236  1.354      12     19     39   1.001
    71    140  0.000 |  3.060  2.236  1.354      12     19     39   1.001
    71    140  0.000 |  3.060  2.236  1.354      12     19     39   1.001
    71    140  0.000 |  3.060  2.236  1.354      12     19     39   1.001
    71    140  0.000 |  3.060  2.236  1.354      12     19     39   1.001
    71    140  0.000 |  3.060  2.236  1.354      12     19     39   1.001
    71    140  0.000 |  3.060  2.236  1.354      12     19     39   1.001
    71    140  0.000 |  3.060  2.236  1.354      12     19     39   1.001
    71    140  0.000 |  3.060  2.236  1.354      12     19     39   1.001
    71    140  0.000 |  3.060  2.236  1.354      12     19     39   1.001
    71    140  0.000 |  3.060  2.236  1.354      12     19     39   1.001
    71    140  0.000 |  3.060  2.236  1.354      12     19     39   1.001
#
