# FoldX/1gci_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    98    169  0.000 |  2.924  2.077  1.381      12     29     59   1.078
    98    169  0.000 |  2.924  2.077  1.381      12     29     59   1.078
    98    169  0.000 |  2.924  2.077  1.381      12     29     59   1.078
    98    169  0.000 |  2.924  2.077  1.381      12     29     59   1.078
    98    169  0.000 |  2.924  2.077  1.381      12     29     59   1.078
    98    169  0.000 |  2.924  2.077  1.381      12     29     59   1.078
    98    169  0.000 |  2.924  2.077  1.381      12     29     59   1.078
    98    169  0.000 |  2.924  2.077  1.381      12     29     59   1.078
    98    169  0.000 |  2.924  2.077  1.381      12     29     59   1.078
    98    169  0.000 |  2.924  2.077  1.381      12     29     59   1.078
    98    169  0.000 |  2.924  2.077  1.381      12     29     59   1.078
    98    169  0.000 |  2.924  2.077  1.381      12     29     59   1.078
    98    169  0.000 |  2.924  2.077  1.381      12     29     59   1.078
    98    169  0.000 |  2.924  2.077  1.381      12     29     59   1.078
    98    169  0.000 |  2.924  2.077  1.381      12     29     59   1.078
    98    169  0.000 |  2.924  2.077  1.381      12     29     59   1.078
    98    169  0.000 |  2.924  2.077  1.381      12     29     59   1.078
    98    169  0.000 |  2.924  2.077  1.381      12     29     59   1.078
    98    169  0.000 |  2.924  2.077  1.381      12     29     59   1.078
    98    169  0.000 |  2.924  2.077  1.381      12     29     59   1.078
    98    169  0.000 |  2.924  2.077  1.381      12     29     59   1.078
#
