# FoldX/1ix9_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   100    133  0.000 |  3.336  2.283  1.280      15     40     56   0.926
   100    133  0.000 |  3.336  2.283  1.280      15     40     56   0.926
   100    133  0.000 |  3.336  2.283  1.280      15     40     56   0.926
   100    133  0.000 |  3.336  2.283  1.280      15     40     56   0.926
   100    133  0.000 |  3.336  2.283  1.280      15     40     56   0.926
   100    133  0.000 |  3.336  2.283  1.280      15     40     56   0.926
   100    133  0.000 |  3.336  2.283  1.280      15     40     56   0.926
   100    133  0.000 |  3.336  2.283  1.280      15     40     56   0.926
   100    133  0.000 |  3.336  2.283  1.280      15     40     56   0.926
   100    133  0.000 |  3.336  2.283  1.280      15     40     56   0.926
   100    133  0.000 |  3.336  2.283  1.280      15     40     56   0.926
   100    133  0.000 |  3.336  2.283  1.280      15     40     56   0.926
   100    133  0.000 |  3.336  2.283  1.280      15     40     56   0.926
   100    133  0.000 |  3.336  2.283  1.280      15     40     56   0.926
   100    133  0.000 |  3.336  2.283  1.280      15     40     56   0.926
   100    133  0.000 |  3.336  2.283  1.280      15     40     56   0.926
   100    133  0.000 |  3.336  2.283  1.280      15     40     56   0.926
   100    133  0.000 |  3.336  2.283  1.280      15     40     56   0.926
   100    133  0.000 |  3.336  2.283  1.280      15     40     56   0.926
   100    133  0.000 |  3.336  2.283  1.280      15     40     56   0.926
   100    133  0.000 |  3.336  2.283  1.280      15     40     56   0.926
#
