# FoldX/1m40_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   116    185  0.000 |  2.717  1.923  1.312      11     42     76   1.081
   116    185  0.000 |  2.717  1.923  1.312      11     42     76   1.081
   116    185  0.000 |  2.717  1.923  1.312      11     42     76   1.081
   116    185  0.000 |  2.717  1.923  1.312      11     42     76   1.081
   116    185  0.000 |  2.717  1.923  1.312      11     42     76   1.081
   116    185  0.000 |  2.717  1.923  1.312      11     42     76   1.081
   116    185  0.000 |  2.717  1.923  1.312      11     42     76   1.081
   116    185  0.000 |  2.717  1.923  1.312      11     42     76   1.081
   116    185  0.000 |  2.717  1.923  1.312      11     42     76   1.081
   116    185  0.000 |  2.717  1.923  1.312      11     42     76   1.081
   116    185  0.000 |  2.717  1.923  1.312      11     42     76   1.081
   116    185  0.000 |  2.717  1.923  1.312      11     42     76   1.081
   116    185  0.000 |  2.717  1.923  1.312      11     42     76   1.081
   116    185  0.000 |  2.717  1.923  1.312      11     42     76   1.081
   116    185  0.000 |  2.717  1.923  1.312      11     42     76   1.081
   116    185  0.000 |  2.717  1.923  1.312      11     42     76   1.081
   116    185  0.000 |  2.717  1.923  1.312      11     42     76   1.081
   116    185  0.000 |  2.717  1.923  1.312      11     42     76   1.081
   116    185  0.000 |  2.717  1.923  1.312      11     42     76   1.081
   116    185  0.000 |  2.717  1.923  1.312      11     42     76   1.081
   116    185  0.000 |  2.717  1.923  1.312      11     42     76   1.081
#
