# FoldX/1mn8_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    35     60  0.000 |  3.158  2.402  1.506       3      7     17   1.086
    35     60  0.000 |  3.158  2.402  1.506       3      7     17   1.086
    35     60  0.000 |  3.158  2.402  1.506       3      7     17   1.086
    35     60  0.000 |  3.158  2.402  1.506       3      7     17   1.086
    35     60  0.000 |  3.158  2.402  1.506       3      7     17   1.086
    35     60  0.000 |  3.158  2.402  1.506       3      7     17   1.086
    35     60  0.000 |  3.158  2.402  1.506       3      7     17   1.086
    35     60  0.000 |  3.158  2.402  1.506       3      7     17   1.086
    35     60  0.000 |  3.158  2.402  1.506       3      7     17   1.086
    35     60  0.000 |  3.158  2.402  1.506       3      7     17   1.086
    35     60  0.000 |  3.158  2.402  1.506       3      7     17   1.086
    35     60  0.000 |  3.158  2.402  1.506       3      7     17   1.086
    35     60  0.000 |  3.158  2.402  1.506       3      7     17   1.086
    35     60  0.000 |  3.158  2.402  1.506       3      7     17   1.086
    35     60  0.000 |  3.158  2.402  1.506       3      7     17   1.086
    35     60  0.000 |  3.158  2.402  1.506       3      7     17   1.086
    35     60  0.000 |  3.158  2.402  1.506       3      7     17   1.086
    35     60  0.000 |  3.158  2.402  1.506       3      7     17   1.086
    35     60  0.000 |  3.158  2.402  1.506       3      7     17   1.086
    35     60  0.000 |  3.158  2.402  1.506       3      7     17   1.086
    35     60  0.000 |  3.158  2.402  1.506       3      7     17   1.086
#
