# FoldX/1nki_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    44     84  0.000 |  3.606  2.332  1.094       5     19     27   1.008
    44     84  0.000 |  3.606  2.332  1.094       5     19     27   1.008
    44     84  0.000 |  3.606  2.332  1.094       5     19     27   1.008
    44     84  0.000 |  3.606  2.332  1.094       5     19     27   1.008
    44     84  0.000 |  3.606  2.332  1.094       5     19     27   1.008
    44     84  0.000 |  3.606  2.332  1.094       5     19     27   1.008
    44     84  0.000 |  3.606  2.332  1.094       5     19     27   1.008
    44     84  0.000 |  3.606  2.332  1.094       5     19     27   1.008
    44     84  0.000 |  3.606  2.332  1.094       5     19     27   1.008
    44     84  0.000 |  3.606  2.332  1.094       5     19     27   1.008
    44     84  0.000 |  3.606  2.332  1.094       5     19     27   1.008
    44     84  0.000 |  3.606  2.332  1.094       5     19     27   1.008
    44     84  0.000 |  3.606  2.332  1.094       5     19     27   1.008
    44     84  0.000 |  3.606  2.332  1.094       5     19     27   1.008
    44     84  0.000 |  3.606  2.332  1.094       5     19     27   1.008
    44     84  0.000 |  3.606  2.332  1.094       5     19     27   1.008
    44     84  0.000 |  3.606  2.332  1.094       5     19     27   1.008
    44     84  0.000 |  3.606  2.332  1.094       5     19     27   1.008
    44     84  0.000 |  3.606  2.332  1.094       5     19     27   1.008
    44     84  0.000 |  3.606  2.332  1.094       5     19     27   1.008
    44     84  0.000 |  3.606  2.332  1.094       5     19     27   1.008
#
