# FoldX/2pvb_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    38     65  0.000 |  3.250  2.326  1.450       3     10     20   1.109
    38     65  0.000 |  3.250  2.326  1.450       3     10     20   1.109
    38     65  0.000 |  3.250  2.326  1.450       3     10     20   1.109
    38     65  0.000 |  3.250  2.326  1.450       3     10     20   1.109
    38     65  0.000 |  3.250  2.326  1.450       3     10     20   1.109
    38     65  0.000 |  3.250  2.326  1.450       3     10     20   1.109
    38     65  0.000 |  3.250  2.326  1.450       3     10     20   1.109
    38     65  0.000 |  3.250  2.326  1.450       3     10     20   1.109
    38     65  0.000 |  3.250  2.326  1.450       3     10     20   1.109
    38     65  0.000 |  3.250  2.326  1.450       3     10     20   1.109
    38     65  0.000 |  3.250  2.326  1.450       3     10     20   1.109
    38     65  0.000 |  3.250  2.326  1.450       3     10     20   1.109
    38     65  0.000 |  3.250  2.326  1.450       3     10     20   1.109
    38     65  0.000 |  3.250  2.326  1.450       3     10     20   1.109
    38     65  0.000 |  3.250  2.326  1.450       3     10     20   1.109
    38     65  0.000 |  3.250  2.326  1.450       3     10     20   1.109
    38     65  0.000 |  3.250  2.326  1.450       3     10     20   1.109
    38     65  0.000 |  3.250  2.326  1.450       3     10     20   1.109
    38     65  0.000 |  3.250  2.326  1.450       3     10     20   1.109
    38     65  0.000 |  3.250  2.326  1.450       3     10     20   1.109
    38     65  0.000 |  3.250  2.326  1.450       3     10     20   1.109
#
