# FoldX/2rbk_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   102    176  0.000 |  2.805  1.979  1.320      16     38     57   0.998
   102    176  0.000 |  2.805  1.979  1.320      16     38     57   0.998
   102    176  0.000 |  2.805  1.979  1.320      16     38     57   0.998
   102    176  0.000 |  2.805  1.979  1.320      16     38     57   0.998
   102    176  0.000 |  2.805  1.979  1.320      16     38     57   0.998
   102    176  0.000 |  2.805  1.979  1.320      16     38     57   0.998
   102    176  0.000 |  2.805  1.979  1.320      16     38     57   0.998
   102    176  0.000 |  2.805  1.979  1.320      16     38     57   0.998
   102    176  0.000 |  2.805  1.979  1.320      16     38     57   0.998
   102    176  0.000 |  2.805  1.979  1.320      16     38     57   0.998
   102    176  0.000 |  2.805  1.979  1.320      16     38     57   0.998
   102    176  0.000 |  2.805  1.979  1.320      16     38     57   0.998
   102    176  0.000 |  2.805  1.979  1.320      16     38     57   0.998
   102    176  0.000 |  2.805  1.979  1.320      16     38     57   0.998
   102    176  0.000 |  2.805  1.979  1.320      16     38     57   0.998
   102    176  0.000 |  2.805  1.979  1.320      16     38     57   0.998
   102    176  0.000 |  2.805  1.979  1.320      16     38     57   0.998
   102    176  0.000 |  2.805  1.979  1.320      16     38     57   0.998
   102    176  0.000 |  2.805  1.979  1.320      16     38     57   0.998
   102    176  0.000 |  2.805  1.979  1.320      16     38     57   0.998
   102    176  0.000 |  2.805  1.979  1.320      16     38     57   0.998
#
