# FoldX/2v1m_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    73    132  0.000 |  2.102  1.606  1.147      10     30     45   0.980
    73    132  0.000 |  2.102  1.606  1.147      10     30     45   0.980
    73    132  0.000 |  2.102  1.606  1.147      10     30     45   0.980
    73    132  0.000 |  2.102  1.606  1.147      10     30     45   0.980
    73    132  0.000 |  2.102  1.606  1.147      10     30     45   0.980
    73    132  0.000 |  2.102  1.606  1.147      10     30     45   0.980
    73    132  0.000 |  2.102  1.606  1.147      10     30     45   0.980
    73    132  0.000 |  2.102  1.606  1.147      10     30     45   0.980
    73    132  0.000 |  2.102  1.606  1.147      10     30     45   0.980
    73    132  0.000 |  2.102  1.606  1.147      10     30     45   0.980
    73    132  0.000 |  2.102  1.606  1.147      10     30     45   0.980
    73    132  0.000 |  2.102  1.606  1.147      10     30     45   0.980
    73    132  0.000 |  2.102  1.606  1.147      10     30     45   0.980
    73    132  0.000 |  2.102  1.606  1.147      10     30     45   0.980
    73    132  0.000 |  2.102  1.606  1.147      10     30     45   0.980
    73    132  0.000 |  2.102  1.606  1.147      10     30     45   0.980
    73    132  0.000 |  2.102  1.606  1.147      10     30     45   0.980
    73    132  0.000 |  2.102  1.606  1.147      10     30     45   0.980
    73    132  0.000 |  2.102  1.606  1.147      10     30     45   0.980
    73    132  0.000 |  2.102  1.606  1.147      10     30     45   0.980
    73    132  0.000 |  2.102  1.606  1.147      10     30     45   0.980
#
