# FoldX/3agn_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    47     96  0.000 |  3.116  2.240  1.427       6     15     26   1.040
    47     96  0.000 |  3.116  2.240  1.427       6     15     26   1.040
    47     96  0.000 |  3.116  2.240  1.427       6     15     26   1.040
    47     96  0.000 |  3.116  2.240  1.427       6     15     26   1.040
    47     96  0.000 |  3.116  2.240  1.427       6     15     26   1.040
    47     96  0.000 |  3.116  2.240  1.427       6     15     26   1.040
    47     96  0.000 |  3.116  2.240  1.427       6     15     26   1.040
    47     96  0.000 |  3.116  2.240  1.427       6     15     26   1.040
    47     96  0.000 |  3.116  2.240  1.427       6     15     26   1.040
    47     96  0.000 |  3.116  2.240  1.427       6     15     26   1.040
    47     96  0.000 |  3.116  2.240  1.427       6     15     26   1.040
    47     96  0.000 |  3.116  2.240  1.427       6     15     26   1.040
    47     96  0.000 |  3.116  2.240  1.427       6     15     26   1.040
    47     96  0.000 |  3.116  2.240  1.427       6     15     26   1.040
    47     96  0.000 |  3.116  2.240  1.427       6     15     26   1.040
    47     96  0.000 |  3.116  2.240  1.427       6     15     26   1.040
    47     96  0.000 |  3.116  2.240  1.427       6     15     26   1.040
    47     96  0.000 |  3.116  2.240  1.427       6     15     26   1.040
    47     96  0.000 |  3.116  2.240  1.427       6     15     26   1.040
    47     96  0.000 |  3.116  2.240  1.427       6     15     26   1.040
    47     96  0.000 |  3.116  2.240  1.427       6     15     26   1.040
#
