# FoldX/3bwh_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    74    162  0.000 |  2.738  1.967  1.304      14     28     45   0.896
    74    162  0.000 |  2.738  1.967  1.304      14     28     45   0.896
    74    162  0.000 |  2.738  1.967  1.304      14     28     45   0.896
    74    162  0.000 |  2.738  1.967  1.304      14     28     45   0.896
    74    162  0.000 |  2.738  1.967  1.304      14     28     45   0.896
    74    162  0.000 |  2.738  1.967  1.304      14     28     45   0.896
    74    162  0.000 |  2.738  1.967  1.304      14     28     45   0.896
    74    162  0.000 |  2.738  1.967  1.304      14     28     45   0.896
    74    162  0.000 |  2.738  1.967  1.304      14     28     45   0.896
    74    162  0.000 |  2.738  1.967  1.304      14     28     45   0.896
    74    162  0.000 |  2.738  1.967  1.304      14     28     45   0.896
    74    162  0.000 |  2.738  1.967  1.304      14     28     45   0.896
    74    162  0.000 |  2.738  1.967  1.304      14     28     45   0.896
    74    162  0.000 |  2.738  1.967  1.304      14     28     45   0.896
    74    162  0.000 |  2.738  1.967  1.304      14     28     45   0.896
    74    162  0.000 |  2.738  1.967  1.304      14     28     45   0.896
    74    162  0.000 |  2.738  1.967  1.304      14     28     45   0.896
    74    162  0.000 |  2.738  1.967  1.304      14     28     45   0.896
    74    162  0.000 |  2.738  1.967  1.304      14     28     45   0.896
    74    162  0.000 |  2.738  1.967  1.304      14     28     45   0.896
    74    162  0.000 |  2.738  1.967  1.304      14     28     45   0.896
#
