# FoldX/3dha_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    68    159  0.000 |  1.857  1.392  1.074      12     29     51   0.944
    68    159  0.000 |  1.857  1.392  1.074      12     29     51   0.944
    68    159  0.000 |  1.857  1.392  1.074      12     29     51   0.944
    68    159  0.000 |  1.857  1.392  1.074      12     29     51   0.944
    68    159  0.000 |  1.857  1.392  1.074      12     29     51   0.944
    68    159  0.000 |  1.857  1.392  1.074      12     29     51   0.944
    68    159  0.000 |  1.857  1.392  1.074      12     29     51   0.944
    68    159  0.000 |  1.857  1.392  1.074      12     29     51   0.944
    68    159  0.000 |  1.857  1.392  1.074      12     29     51   0.944
    68    159  0.000 |  1.857  1.392  1.074      12     29     51   0.944
    68    159  0.000 |  1.857  1.392  1.074      12     29     51   0.944
    68    159  0.000 |  1.857  1.392  1.074      12     29     51   0.944
    68    159  0.000 |  1.857  1.392  1.074      12     29     51   0.944
    68    159  0.000 |  1.857  1.392  1.074      12     29     51   0.944
    68    159  0.000 |  1.857  1.392  1.074      12     29     51   0.944
    68    159  0.000 |  1.857  1.392  1.074      12     29     51   0.944
    68    159  0.000 |  1.857  1.392  1.074      12     29     51   0.944
    68    159  0.000 |  1.857  1.392  1.074      12     29     51   0.944
    68    159  0.000 |  1.857  1.392  1.074      12     29     51   0.944
    68    159  0.000 |  1.857  1.392  1.074      12     29     51   0.944
    68    159  0.000 |  1.857  1.392  1.074      12     29     51   0.944
#
