# FoldX/3jyo_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   112    195  0.000 |  2.855  2.062  1.328      15     38     67   1.019
   112    195  0.000 |  2.855  2.062  1.328      15     38     67   1.019
   112    195  0.000 |  2.855  2.062  1.328      15     38     67   1.019
   112    195  0.000 |  2.855  2.062  1.328      15     38     67   1.019
   112    195  0.000 |  2.855  2.062  1.328      15     38     67   1.019
   112    195  0.000 |  2.855  2.062  1.328      15     38     67   1.019
   112    195  0.000 |  2.855  2.062  1.328      15     38     67   1.019
   112    195  0.000 |  2.855  2.062  1.328      15     38     67   1.019
   112    195  0.000 |  2.855  2.062  1.328      15     38     67   1.019
   112    195  0.000 |  2.855  2.062  1.328      15     38     67   1.019
   112    195  0.000 |  2.855  2.062  1.328      15     38     67   1.019
   112    195  0.000 |  2.855  2.062  1.328      15     38     67   1.019
   112    195  0.000 |  2.855  2.062  1.328      15     38     67   1.019
   112    195  0.000 |  2.855  2.062  1.328      15     38     67   1.019
   112    195  0.000 |  2.855  2.062  1.328      15     38     67   1.019
   112    195  0.000 |  2.855  2.062  1.328      15     38     67   1.019
   112    195  0.000 |  2.855  2.062  1.328      15     38     67   1.019
   112    195  0.000 |  2.855  2.062  1.328      15     38     67   1.019
   112    195  0.000 |  2.855  2.062  1.328      15     38     67   1.019
   112    195  0.000 |  2.855  2.062  1.328      15     38     67   1.019
   112    195  0.000 |  2.855  2.062  1.328      15     38     67   1.019
#
