# FoldX/3qpa_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    73    131  0.000 |  3.092  2.249  1.256       7     22     43   1.028
    73    131  0.000 |  3.092  2.249  1.256       7     22     43   1.028
    73    131  0.000 |  3.092  2.249  1.256       7     22     43   1.028
    73    131  0.000 |  3.092  2.249  1.256       7     22     43   1.028
    73    131  0.000 |  3.092  2.249  1.256       7     22     43   1.028
    73    131  0.000 |  3.092  2.249  1.256       7     22     43   1.028
    73    131  0.000 |  3.092  2.249  1.256       7     22     43   1.028
    73    131  0.000 |  3.092  2.249  1.256       7     22     43   1.028
    73    131  0.000 |  3.092  2.249  1.256       7     22     43   1.028
    73    131  0.000 |  3.092  2.249  1.256       7     22     43   1.028
    73    131  0.000 |  3.092  2.249  1.256       7     22     43   1.028
    73    131  0.000 |  3.092  2.249  1.256       7     22     43   1.028
    73    131  0.000 |  3.092  2.249  1.256       7     22     43   1.028
    73    131  0.000 |  3.092  2.249  1.256       7     22     43   1.028
    73    131  0.000 |  3.092  2.249  1.256       7     22     43   1.028
    73    131  0.000 |  3.092  2.249  1.256       7     22     43   1.028
    73    131  0.000 |  3.092  2.249  1.256       7     22     43   1.028
    73    131  0.000 |  3.092  2.249  1.256       7     22     43   1.028
    73    131  0.000 |  3.092  2.249  1.256       7     22     43   1.028
    73    131  0.000 |  3.092  2.249  1.256       7     22     43   1.028
    73    131  0.000 |  3.092  2.249  1.256       7     22     43   1.028
#
